ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer,
34634,ESL09a_18,,Unknow,3/3/2022 11:01:11 AM,0.8,1357.14948453547,9358.99199676514,0,6872.59765625,2290.0888671875,0.627853989601135,1.66200006008148,2.32249999046326,128,9614,normally,,
34635,ESL09a_18,,Neglect,3/3/2022 11:04:15 AM,0.6,134.369671275646,7057.2287492156,0,6872.59765625,2290.0888671875,0.627853989601135,1.68600010871887,2.22499990463257,117.5,7287,normally,,
34636,ESL09a_18,,Valid,3/3/2022 11:07:26 AM,0.6,123.049430282965,7041.67413449287,0,6872.59765625,2290.0888671875,0.627853989601135,1.73799991607666,2.26749992370605,118.5,7279,normally,,
34637,ESL09a_18,,Out of d,3/3/2022 11:10:36 AM,0.6,112.301208094593,7026.90550410748,0,6872.59765625,2290.0888671875,0.627853989601135,1.76800000667572,2.26749992370605,118,7265,normally,,
34638,ESL09a_18,,Valid,3/3/2022 11:13:49 AM,0.6,124.848391240345,7044.14600276947,0,6872.59765625,2290.0888671875,0.627853989601135,1.69799995422363,2.25,121,7283,normally,,
34639,ESL09a_18,,Valid,3/3/2022 11:17:02 AM,0.6,124.632972970366,7043.85000658035,0,6872.59765625,2290.0888671875,0.627853989601135,1.64999997615814,2.15249991416931,120,7272,normally,,
34640,RSA_437,,Neglect,3/3/2022 11:21:11 AM,1,2129.71799289651,11749.8411220312,0,6872.59765625,2290.0888671875,0.627853989601135,1.64600014686584,2.17249989509583,141.5,12020,normally,,
34641,RSA_437,,Unknow,3/3/2022 11:24:46 AM,1,2166.55204205618,11834.1943679452,0,6872.59765625,2290.0888671875,0.627853989601135,1.66000008583069,2.29250001907349,134.5,12100,normally,,
34642,RSA_437,,Unknow,3/3/2022 11:28:24 AM,1,2166.50341256573,11834.0830020905,0,6872.59765625,2290.0888671875,0.627853989601135,1.62199997901917,2.25999999046326,137,12100,normally,,
34643,RSA_438,,Neglect,3/3/2022 11:32:32 AM,1,2179.30673516212,11863.4037486315,0,6872.59765625,2290.0888671875,0.627853989601135,1.66000008583069,2.1949999332428,143.5,12140,normally,,
34644,RSA_438,,Unknow,3/3/2022 11:36:08 AM,1,2236.84527570654,11995.1721197665,0,6872.59765625,2290.0888671875,0.627853989601135,1.74400007724762,2.3125,135.5,12270,normally,,
34645,RSA_438,,Unknow,3/3/2022 11:39:44 AM,1,2241.28588018369,12005.3414986432,0,6872.59765625,2290.0888671875,0.627853989601135,1.70399987697601,2.35000014305115,135.5,12280,normally,,
34646,RSA_439,,Neglect,3/3/2022 11:43:41 AM,1,2246.14574065856,12016.4710110128,0,6872.59765625,2290.0888671875,0.627853989601135,1.71799981594086,2.23000001907349,133.5,12280,normally,,
34647,RSA_439,,Out of d,3/3/2022 11:47:23 AM,1,2253.61684195055,12033.5804969072,0,6872.59765625,2290.0888671875,0.627853989601135,1.60400009155273,2.17499995231628,141,12300,normally,,
34648,RSA_439,,Out of d,3/3/2022 11:50:58 AM,1,2246.00229399577,12016.1425054073,0,6872.59765625,2290.0888671875,0.627853989601135,1.69400000572205,2.21499991416931,135,12280,normally,,
34649,RSA_439,,Out of d,3/3/2022 11:54:35 AM,1,2255.86937392881,12038.7389953136,0,6872.59765625,2290.0888671875,0.627853989601135,1.64800000190735,2.1800000667572,136.5,12300,normally,,
34650,RSA_439,,Out of d,3/3/2022 11:58:08 AM,1,2245.7095008983,12015.4719831944,0,6872.59765625,2290.0888671875,0.627853989601135,1.71800005435944,2.29000020027161,132,12280,normally,,
34651,RSA_439,,Out of d,3/3/2022 12:01:42 PM,1,2255.53794248753,12037.9799878597,0,6872.59765625,2290.0888671875,0.627853989601135,1.74000000953674,2.32000017166138,134,12310,normally,,
34652,RSA_439,,Out of d,3/3/2022 12:05:13 PM,1,2249.14518249828,12023.3399993777,0,6872.59765625,2290.0888671875,0.627853989601135,1.77999997138977,2.46000003814697,130.5,12300,normally,,
34653,RSA_439,,Out of d,3/3/2022 12:08:45 PM,1,2252.35379313867,12030.6880028844,0,6872.59765625,2290.0888671875,0.627853989601135,1.76600003242493,2.32999992370605,131.5,12300,normally,,
34654,RSA_440,,Neglect,3/3/2022 12:14:29 PM,1,2239.5680408672,12001.4074939489,0,6872.59765625,2290.0888671875,0.627853989601135,1.60600018501282,2.22499990463257,135,12260,normally,,
34655,RSA_440,,Valid,3/3/2022 12:18:05 PM,1,2227.32725426606,11973.375004828,0,6872.59765625,2290.0888671875,0.627853989601135,1.68999993801117,2.25999999046326,135,12240,normally,,
34656,RSA_440,,Valid,3/3/2022 12:21:40 PM,1,2232.12128635997,11984.3537643552,0,6872.59765625,2290.0888671875,0.627853989601135,1.67799985408783,2.2574999332428,135,12250,normally,,
