,X.x,X.y,DOI,EXPOCODE,Accession,Cruise_ID,Date,Year,Month,Day,Time_UTC,Latitude,Longitude,Depth_bottom,Depth,CASTNO_Original,CASTNO_Database_bot,Pressure,Salinity,Temperature,Oxygen,DIC,DIC_FLAG,TA,TA_FLAG,pH,pH_FLAG,pCO2_yearave,pCO2_monthave,bottom_depth,OmegaA,OmegaC,pCO2insitu,pHT,ADT,UGOS,VGOS,SLA,UGOSA,VGOSA,SST,SST_hires,Chl,KD490,outlier
20,48,594,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,5:31,35.318,-73.831,3386.0,99.4,1,700,98.0,36.667,23.632,167.47,2098.26,2.0,2406.71,2.0,8.0062,2.0,394.06,392.59,3381,3.43832541408743,5.22582632608973,649.480726414517,8.04405376524603,0.8730903264283539,0.0231179471004803,0.1115182936906301,0.205091201573225,-0.3613726482674485,-0.2452109087070325,28.724902125931628,28.943185347918,0.0617241228232651,0.0289511102740395,False
21,47,594,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,5:31,35.318,-73.831,3386.0,199.1,1,700,199.0,36.665,19.99,175.42,2121.26,2.0,2400.02,2.0,7.9672,2.0,394.06,392.59,3381,3.07144127359566,4.71576987176959,1045.84901224899,8.05001086631378,0.8730903264283539,0.0231179471004803,0.1115182936906301,0.205091201573225,-0.3613726482674485,-0.2452109087070325,28.724902125931628,28.943185347918,0.0617241228232651,0.0289511102740395,False
22,41,594,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,5:31,35.318,-73.831,3386.0,297.9,1,700,299.0,36.612,18.508,192.7,2114.04,2.0,2401.87,2.0,7.9686,2.0,394.06,392.59,3381,3.13824709277434,4.83690697023791,1538.15301218078,8.08868432642207,0.8730903264283539,0.0231179471004803,0.1115182936906301,0.205091201573225,-0.3613726482674485,-0.2452109087070325,28.724902125931628,28.943185347918,0.0617241228232651,0.0289511102740395,False
23,29,594,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,5:31,35.318,-73.831,3386.0,496.5,1,700,499.0,36.378,17.14,188.49,2123.72,2.0,2387.1,2.0,7.933,2.0,394.06,392.59,3381,2.87864584443204,4.45266480616958,4349.59940201057,8.07135870245507,0.8730903264283539,0.0231179471004803,0.1115182936906301,0.205091201573225,-0.3613726482674485,-0.2452109087070325,28.724902125931628,28.943185347918,0.0617241228232651,0.0289511102740395,False
24,16,594,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,5:31,35.318,-73.831,3386.0,595.7,1,700,599.0,35.998,15.076,148.73,2159.52,2.0,2358.42,2.0,7.819,2.0,394.06,392.59,3381,2.23506148316909,3.47493482065882,9514.77155126076,7.98457307737083,0.8730903264283539,0.0231179471004803,0.1115182936906301,0.205091201573225,-0.3613726482674485,-0.2452109087070325,28.724902125931628,28.943185347918,0.0617241228232651,0.0289511102740395,False
25,5215,594,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,5:31,35.318,-73.831,3386.0,4.6,1,700,3.0,35.81,28.771,195.61,1989.55,2.0,2347.93,2.0,8.109,2.0,394.06,392.59,3381,4.07300310339107,6.09786954956824,382.59228752079,8.06486037343495,0.8730903264283539,0.0231179471004803,0.1115182936906301,0.205091201573225,-0.3613726482674485,-0.2452109087070325,28.724902125931628,28.943185347918,0.0617241228232651,0.0289511102740395,False
26,25,2846,https://doi.org/10.7289/v5vt1q40,33GG20150619,,ECOA1,2015-07-13,2015,7,13,3:15,35.49982,-74.69305,,14.545,1,4295,,36.3021,27.9482,203.273,2048.37,2.0,2389.27,2.0,8.085827664,2.0,401.01,401.46,1742,3.87292260153633,5.81022441722308,439.725636683192,8.03778436147581,0.0795446651521104,0.768147300991486,0.4487586471047735,0.0292037954604393,0.2180784019941685,-0.1423643619090736,27.436382045863088,28.34221208703896,0.2108161541936657,0.0440037346451559,False
27,11,593,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,1:47,35.482,-74.008,3036.0,15.2,1,699,14.0,35.883,28.967,196.8,1999.15,2.0,2353.27,2.0,8.108,2.0,394.06,392.59,3025,4.0336599298993,6.03435672149776,414.284918149898,8.05366839010641,0.7992521555534903,0.3215712473180241,0.5623271628782592,0.3055182279158858,-0.3342271957777897,-0.0568397261809193,29.151951282743152,28.694487200874647,0.0650406470766435,0.0293968590267076,False
28,13,593,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,1:47,35.482,-74.008,3036.0,29.9,1,699,28.0,35.906,28.923,197.16,2001.92,2.0,2352.34,2.0,8.1082,2.0,394.06,392.59,3025,3.99218076373389,5.97298833764789,448.073310061438,8.04855166098842,0.7992521555534903,0.3215712473180241,0.5623271628782592,0.3055182279158858,-0.3342271957777897,-0.0568397261809193,29.151951282743152,28.694487200874647,0.0650406470766435,0.0293968590267076,False
29,20,593,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,1:47,35.482,-74.008,3036.0,53.1,1,699,52.0,36.116,27.781,199.73,2022.38,2.0,2367.4,2.0,8.0879,2.0,394.06,392.59,3025,3.9062952364623,5.86494388803542,495.85689795094,8.05239375352485,0.7992521555534903,0.3215712473180241,0.5623271628782592,0.3055182279158858,-0.3342271957777897,-0.0568397261809193,29.151951282743152,28.694487200874647,0.0650406470766435,0.0293968590267076,False
30,28,593,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,1:47,35.482,-74.008,3036.0,79.4,1,699,78.0,36.342,26.069,181.72,2065.36,2.0,2386.26,2.0,8.0452,3.0,394.06,392.59,3025,3.61905806173287,5.46198715683964,596.331411768144,8.03451758058886,0.7992521555534903,0.3215712473180241,0.5623271628782592,0.3055182279158858,-0.3342271957777897,-0.0568397261809193,29.151951282743152,28.694487200874647,0.0650406470766435,0.0293968590267076,False
31,54,593,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,1:47,35.482,-74.008,3036.0,124.2,1,699,123.0,36.743,22.912,202.37,2077.55,2.0,2401.98,2.0,8.051,2.0,394.06,392.59,3025,3.57783108684329,5.44881979727921,658.022191712451,8.08057415842187,0.7992521555534903,0.3215712473180241,0.5623271628782592,0.3055182279158858,-0.3342271957777897,-0.0568397261809193,29.151951282743152,28.694487200874647,0.0650406470766435,0.0293968590267076,False
32,46,593,https://doi.org/10.3334/cdiac/otg.clivar_nacp_east_coast_cruise_2007,33RO20120721,,RB1203,2012-08-06,2012,8,6,1:47,35.482,-74.008,3036.0,223.3,1,699,223.0,36.663,19.682,195.45,2109.0,2.0,2396.85,2.0,7.9941,2.0,394.06,392.59,3025,3.15371221252303,4.84599024332169,1109.44855466504,8.07089901980527,0.7992521555534903,0.3215712473180241,0.5623271628782592,0.3055182279158858,-0.3342271957777897,-0.0568397261809193,29.151951282743152,28.694487200874647,0.0650406470766435,0.0293968590267076,False
