BottleID,Temp,Salinity,DIC_avg,DIC_stdev,TA_avg,TA_stdev,TA_flag,CTD_depth
RSA_059A,10.08000488,34.397,2137.4,0,2291.8,1.5,high drift,96.219179
RSA_059B,8.53503495,32.521,2043.2,0.1,2211,0.2,high drift,96.219179
RSA_060A,7.544818115,33.324,2114.5,0.8,2241.4,0.4,high drift,84.4056223
RSA_060B,7.855057373,32.509,2062.5,0.4,2202,0.2,high drift,84.4056223
RSA_061A,7.464276123,32.728,2057.7,0.8,2217.2,0.4,high drift,61.5239052
RSA_061B,7.626770698,32.548,2050.9,0.9,2209.8,0.2,high drift,61.5239052
RSA_062A,6.939520264,32.576,2064.2,0.4,2210.5,0.2,high drift,70.4939899
RSA_062B,7.887987518,32.402,2041.5,0.2,2202.1,0.6,high drift,70.4939899
RSA_063A,8.835894775,33.877,2119.4,1.4,2273.1,0.9,,88.8879581
RSA_063B,8.153674316,32.559,2050,0.9,2212.9,1.1,,88.8879581
RSA_064A,9.674731445,34.24,2130.3,0.5,2286.4,1.1,,89.2297153
RSA_064B,7.998186035,32.457,2048.9,0.1,2211.8,0.9,,89.2297153
RSA_065A,7.243678029,33.117,2103.4,0.1,2238,0.9,,71.976562
RSA_065B,7.738996233,32.333,2051.2,0.8,2206.5,0.8,,71.976562
RSA_066A,6.999053955,32.623,2070.4,0.8,2218.3,1.4,,66.7598852
RSA_066B,7.551270549,32.482,2059.3,0.5,2205.3,0.3,,66.7598852
RSA_067A,7.580358887,32.758,2058.5,0.4,2222.5,0.3,,57.0033094
RSA_067B,7.767816162,32.585,2055.1,1.7,2210.9,1.3,,57.0033094
RSA_068A,7.229382324,32.699,2069.7,0.2,2222,0,,65.0170901
RSA_068B,7.492635498,32.505,2060.1,0.8,2206,0.1,,65.0170901
RSA_069A,7.536846924,33.259,2102,0.5,2240.5,0.2,,78.1390439
RSA_069B,7.959368025,32.425,2047.7,1,2211.1,1,,78.1390439
RSA_070A,6.800915527,32.842,2080.2,0.6,2225.7,1.4,,70.3653191
RSA_070B,7.689307405,32.529,2058.8,0.6,2212.5,1.2,,70.3653191
RSA_071A,6.905743408,32.917,2083.8,0.5,2228.2,1.3,,76.9589353
RSA_071B,7.951394043,32.302,2038.2,0.4,2205.7,3.6,,76.9589353
RSA_072A,7.586621094,33.282,2096.3,0,2253.7,1,,86.3872155
RSA_072B,8.193803188,32.298,2034.4,1,2206.1,1.3,,86.3872155
RSA_073A,6.857308683,32.715,2070.9,0.1,2218.8,0.5,,68.2275739
RSA_073B,7.466583506,32.497,2048,1.7,2207.8,0.6,,68.2275739
