BottleID,TA_avg,TA_stdev,Salinity,Flag
RSA_100A,2229.2,2.2,32.917,
RSA_100B,2227.1,4.3,32.919,
RSA_101A,2220.9,0.7,32.877,
RSA_101B,2224.5,1.1,32.854,
RSA_102A,2226.9,0.6,32.925,
RSA_102B,2222.9,0.9,32.86,
RSA_103A,2230.7,0.1,32.942,
RSA_103B,2224.6,1.3,32.855,
RSA_104A,2243.8,1.6,33.145,
RSA_104B,2223.1,1.3,32.853,
RSA_105A,2215.3,1.3,32.798,
RSA_105B,2210.5,1.3,32.722,
RSA_106A,2224.9,1,32.951,
RSA_106B,2214.2,0.6,32.835,
RSA_107A,2211.8,0.9,32.694,
RSA_107B,2210.1,0,32.704,
RSA_108A,2217.7,0.1,32.871,
RSA_108B,2212.8,0.1,32.742,
RSA_109A,2214.9,1.2,32.946,
RSA_109B,2218.8,0.6,32.92,
RSA_110A,2217,0.9,32.907,
RSA_110B,2213.6,0.2,32.888,
RSA_111A,2225.4,1.4,33.024,
RSA_111B,2210.3,0.9,32.775,
RSA_112A,2216.6,3.1,32.948,
RSA_112B,2211.7,0.4,32.864,
RSA_113A,2202.5,0.4,32.815,
RSA_113B,2198.1,1,32.792,
RSA_114A,2201.4,0.3,32.72,
RSA_114B,2208.3,0.4,32.698,
