BottleID,Temp,Salinity,DIC_avg,TA_avg,TA_flag,CTD_depth
RSA_084A,7.541577148,33.046,2078.7,2234.2,3,79.75689
RSA_084B,8.135543213,32.771,2056.7,2219.2,3,79.75689
RSA_085A,7.687371826,32.897,2058,2228.9,,66.6373473
RSA_085B,8.196938324,32.808,2039.5,2226.1,,66.6373473
RSA_086A,9.023852539,33.886,2111.9,2278,,90.1330116
RSA_086B,8.190579834,32.712,2052.5,2221.8,,90.1330116
RSA_087A,9.509503174,34.046,2113.7,2277.6,,90.644725
RSA_087B,8.236725871,32.635,2047.1,2221.8,,90.644725
RSA_088A,7.621325684,33.009,2074.8,2237.9,,73.7972753
RSA_088B,8.086532593,32.866,2028.2,2234.9,,73.7972753
RSA_089A,7.81204834,32.812,2041.4,2224.6,,62.6885186
RSA_089B,8.051106771,32.882,2030.7,2227.5,,62.6885186
RSA_090A,7.827345784,32.819,2036,2226.6,,61.421548
RSA_090B,7.868884277,32.811,2035.3,2223.4,,61.421548
RSA_091A,7.70199585,32.818,2041,2228.8,,67.0768889
RSA_091B,7.828149414,32.785,2037.1,2226.2,,67.0768889
RSA_092A,7.537347412,32.807,2053.8,2226.4,,66.7683353
RSA_092B,7.951639404,32.764,2029.8,2218.9,,66.7683353
RSA_093A,7.92980957,33.241,2084.8,2246.2,,85.8077456
RSA_093B,8.133310954,32.896,2042.4,2232.7,,85.8077456
RSA_094A,7.631872557,33.044,2074.8,2241.1,,83.9894994
RSA_094B,8.187442627,32.831,2039.5,2224,,83.9894994
RSA_095A,7.593408203,32.9,2059.7,2234.2,,73.1029744
RSA_095B,8.086461182,32.845,2035.1,2230.6,,73.1029744
RSA_096A,7.593634035,32.879,2051.7,2234.8,,67.7989888
RSA_096B,8.077177734,32.779,2011.3,2221.7,,67.7989888
RSA_097A,7.62947998,32.855,2040.5,2220.3,,65.2082441
RSA_097B,7.732478114,32.748,2039.4,2233.9,,65.2082441
RSA_098A,7.439770508,32.886,2064.4,2219.4,,66.2045376
RSA_098B,7.406858318,32.878,2062.3,2217.5,,66.2045376
RSA_099A,7.288690186,32.815,2060.9,2219.7,,58.7512869
RSA_099B,7.305664934,32.796,2060.2,2219.6,,58.7512869
RSA_100A,7.305932617,32.917,2059.7,2229.2,,58.4113929
RSA_100B,7.302043062,32.919,2058.8,2227.1,,58.4113929
RSA_101A,7.515983391,32.877,2055.6,2220.9,,56.5316083
RSA_101B,7.514111939,32.854,2055.6,2224.5,,56.5316083
RSA_102A,7.602966304,32.925,2056.6,2226.9,,73.9178043
RSA_102B,7.429628209,32.86,2058.2,2222.9,,73.9178043
RSA_103A,7.689931234,32.942,2051.1,2230.7,,77.0744471
RSA_103B,7.945914633,32.855,2028.3,2224.6,,77.0744471
RSA_104A,7.714544678,33.145,2077.4,2243.8,,81.4848694
RSA_104B,8.276765137,32.853,2029.8,2223.1,,81.4848694
RSA_105A,7.422235107,32.798,2050.5,2215.3,,58.5296916
RSA_105B,7.598145403,32.722,2043,2210.5,,58.5296916
RSA_106A,7.563647461,32.951,2056.7,2224.9,,71.1257611
RSA_106B,8.027908936,32.835,2042,2214.2,,71.1257611
RSA_107A,7.635540771,32.694,2039.6,2211.8,,54.8611954
RSA_107B,7.947431641,32.704,2033.5,2210.1,,54.8611954
RSA_108A,7.56315714,32.871,2053.7,2217.7,,66.3877926
RSA_108B,7.961608887,32.742,2038.6,2212.8,,66.3877926
RSA_109A,7.783728027,32.946,2047.5,2214.9,,67.4741792
RSA_109B,8.622790222,32.92,2030.7,2218.8,,67.4741792
RSA_110A,7.687597656,32.907,2052.7,2217,,69.6604384
RSA_110B,8.615737479,32.888,2040.6,2213.6,,69.6604384
RSA_111A,NA,33.024,2050,2225.4,,NA
RSA_111B,NA,32.775,2024.8,2210.3,,NA
RSA_112A,7.912475586,32.948,1974.6,2216.6,,70.4049968
RSA_112B,8.874117432,32.864,2031.4,2211.7,,70.4049968
RSA_113A,8.28354187,32.815,2032.6,2202.5,,60.0742418
RSA_113B,8.862426758,32.792,2029.1,2198.1,,60.0742418
RSA_114A,NA,32.72,2025.4,2201.4,,NA
RSA_114B,NA,32.698,2017,2208.3,,NA
