"","x"
"628","11:58:21.375"
"629","11:58:21.500"
"630","11:58:21.625"
"631","11:58:21.750"
"632","11:58:21.875"
"633","11:58:22.000"
"634","11:58:22.125"
"635","11:58:22.250"
"636","11:58:22.375"
"637","11:58:22.500"
"638","11:58:22.625"
"639","11:58:22.750"
"640","11:58:22.875"
"641","11:58:23.000"
"642","11:58:23.125"
"643","11:58:23.250"
"644","11:58:23.375"
"645","11:58:23.500"
"646","11:58:23.625"
"647","11:58:23.750"
"648","11:58:23.875"
"649","11:58:24.000"
"650","11:58:24.125"
"651","11:58:24.250"
"652","11:58:24.375"
"653","11:58:24.500"
"654","11:58:24.625"
"655","11:58:24.750"
"656","11:58:24.875"
"657","11:58:25.000"
"658","11:58:25.125"
"659","11:58:25.250"
"660","11:58:25.375"
"661","11:58:25.500"
"662","11:58:25.625"
"663","11:58:25.750"
"664","11:58:25.875"
"665","11:58:26.000"
"666","11:58:26.125"
"667","11:58:26.250"
"668","11:58:26.375"
"669","11:58:26.500"
"670","11:58:26.625"
"671","11:58:26.750"
"672","11:58:26.875"
"673","11:58:27.000"
"674","11:58:27.125"
"675","11:58:27.250"
"676","11:58:27.375"
"677","11:58:27.500"
"678","11:58:27.625"
"679","11:58:27.750"
"680","11:58:27.875"
"681","11:58:28.000"
"682","11:58:28.125"
"683","11:58:28.250"
"684","11:58:28.375"
"685","11:58:28.500"
"686","11:58:28.625"
"687","11:58:28.750"
"688","11:58:28.875"
"689","11:58:29.000"
"690","11:58:29.125"
"691","11:58:29.250"
"692","11:58:29.375"
"693","11:58:29.500"
"694","11:58:29.625"
"695","11:58:29.750"
"696","11:58:29.875"
"697","11:58:30.000"
"698","11:58:30.125"
"699","11:58:30.250"
"700","11:58:30.375"
"701","11:58:30.500"
"702","11:58:30.625"
"703","11:58:30.750"
"704","11:58:30.875"
"705","11:58:31.000"
"706","11:58:31.125"
"707","11:58:31.250"
"708","11:58:31.375"
"709","11:58:31.500"
"710","11:58:31.625"
"711","11:58:31.750"
"712","11:58:31.875"
"713","11:58:32.000"
"714","11:58:32.125"
"715","11:58:32.250"
"716","11:58:32.375"
"717","11:58:32.500"
"718","11:58:32.625"
"719","11:58:32.750"
"720","11:58:32.875"
"721","11:58:33.000"
"722","11:58:33.125"
"723","11:58:33.250"
"724","11:58:33.375"
"725","11:58:33.500"
"726","11:58:33.625"
"727","11:58:33.750"
"728","11:58:33.875"
"729","11:58:34.000"
"730","11:58:34.125"
"731","11:58:34.250"
"732","11:58:34.375"
"733","11:58:34.500"
"734","11:58:34.625"
"735","11:58:34.750"
"736","11:58:34.875"
"737","11:58:35.000"
"738","11:58:35.125"
"739","11:58:35.250"
"740","11:58:35.375"
"741","11:58:35.500"
"742","11:58:35.625"
"743","11:58:35.750"
"744","11:58:35.875"
"745","11:58:36.000"
"746","11:58:36.125"
"747","11:58:36.250"
"748","11:58:36.375"
"749","11:58:36.500"
"750","11:58:36.625"
"751","11:58:36.750"
"752","11:58:36.875"
"753","11:58:37.000"
"754","11:58:37.125"
"755","11:58:37.250"
"756","11:58:37.375"
"757","11:58:37.500"
"758","11:58:37.625"
"759","11:58:37.750"
"760","11:58:37.875"
"761","11:58:38.000"
"762","11:58:38.125"
"763","11:58:38.250"
"764","11:58:38.375"
"765","11:58:38.500"
"766","11:58:38.625"
"767","11:58:38.750"
"768","11:58:38.875"
"769","11:58:39.000"
"770","11:58:39.125"
"771","11:58:39.250"
"772","11:58:39.375"
"773","11:58:39.500"
"774","11:58:39.625"
"775","11:58:39.750"
"776","11:58:39.875"
"777","11:58:40.000"
"778","11:58:40.125"
"779","11:58:40.250"
"780","11:58:40.375"
"781","11:58:40.500"
"782","11:58:40.625"
"783","11:58:40.750"
"784","11:58:40.875"
"785","11:58:41.000"
"786","11:58:41.125"
"787","11:58:41.250"
"788","11:58:41.375"
"789","11:58:41.500"
"790","11:58:41.625"
"791","11:58:41.750"
"792","11:58:41.875"
"793","11:58:42.000"
"794","11:58:42.125"
"795","11:58:42.250"
"796","11:58:42.375"
"797","11:58:42.500"
"798","11:58:42.625"
"799","11:58:42.750"
"800","11:58:42.875"
"801","11:58:43.000"
"802","11:58:43.125"
"803","11:58:43.250"
"804","11:58:43.375"
"805","11:58:43.500"
"806","11:58:43.625"
"807","11:58:43.750"
"808","11:58:43.875"
"809","11:58:44.000"
"810","11:58:44.125"
"811","11:58:44.250"
"812","11:58:44.375"
"813","11:58:44.500"
"814","11:58:44.625"
"815","11:58:44.750"
"816","11:58:44.875"
"817","11:58:45.000"
"818","11:58:45.125"
"819","11:58:45.250"
"820","11:58:45.375"
"821","11:58:45.500"
"822","11:58:45.625"
"823","11:58:45.750"
"824","11:58:45.875"
"825","11:58:46.000"
"826","11:58:46.125"
"827","11:58:46.250"
"828","11:58:46.375"
"829","11:58:46.500"
"830","11:58:46.625"
"831","11:58:46.750"
"832","11:58:46.875"
"833","11:58:47.000"
"834","11:58:47.125"
"835","11:58:47.250"
"836","11:58:47.375"
"837","11:58:47.500"
"838","11:58:47.625"
"839","11:58:47.750"
"840","11:58:47.875"
"841","11:58:48.000"
"842","11:58:48.125"
"843","11:58:48.250"
"844","11:58:48.375"
"845","11:58:48.500"
"846","11:58:48.625"
"847","11:58:48.750"
"848","11:58:48.875"
"849","11:58:49.000"
"850","11:58:49.125"
"851","11:58:49.250"
"852","11:58:49.375"
"853","11:58:49.500"
"854","11:58:49.625"
"855","11:58:49.750"
"856","11:58:49.875"
"857","11:58:50.000"
"858","11:58:50.125"
"859","11:58:50.250"
"860","11:58:50.375"
"861","11:58:50.500"
"862","11:58:50.625"
"863","11:58:50.750"
"864","11:58:50.875"
"865","11:58:51.000"
"866","11:58:51.125"
"867","11:58:51.250"
"868","11:58:51.375"
"869","11:58:51.500"
"870","11:58:51.625"
"871","11:58:51.750"
"872","11:58:51.875"
"873","11:58:52.000"
"874","11:58:52.125"
"875","11:58:52.250"
"876","11:58:52.375"
"877","11:58:52.500"
"878","11:58:52.625"
"879","11:58:52.750"
"880","11:58:52.875"
"881","11:58:53.000"
"882","11:58:53.125"
"883","11:58:53.250"
"884","11:58:53.375"
"885","11:58:53.500"
"886","11:58:53.625"
"887","11:58:53.750"
"888","11:58:53.875"
"889","11:58:54.000"
"890","11:58:54.125"
"891","11:58:54.250"
"892","11:58:54.375"
"893","11:58:54.500"
"894","11:58:54.625"
"895","11:58:54.750"
"896","11:58:54.875"
"897","11:58:55.000"
"898","11:58:55.125"
"899","11:58:55.250"
"900","11:58:55.375"
"901","11:58:55.500"
"902","11:58:55.625"
"903","11:58:55.750"
"904","11:58:55.875"
"905","11:58:56.000"
"906","11:58:56.125"
"907","11:58:56.250"
"908","11:58:56.375"
"909","11:58:56.500"
"910","11:58:56.625"
"911","11:58:56.750"
"912","11:58:56.875"
"913","11:58:57.000"
"914","11:58:57.125"
"915","11:58:57.250"
"916","11:58:57.375"
"917","11:58:57.500"
"918","11:58:57.625"
"919","11:58:57.750"
"920","11:58:57.875"
"921","11:58:58.000"
"922","11:58:58.125"
"923","11:58:58.250"
"924","11:58:58.375"
"925","11:58:58.500"
"926","11:58:58.625"
"927","11:58:58.750"
