DateProcessed,ScallopID,ShellHt_mm,Sex,Mus_Boat1_g,Boat+WetMus_g,WetMus_g,Mus_Boat2_g,Boat+DryMus_g,DryMus_g,Gon_Boat1_g,Boat+WetGon_g,WetGon_g,Gon_Boat2_g,Boat+DryGon_g,DryGon_g,Man_Boat1_g,Boat+WetMan_g,WetMan_g,Man_Boat2_g,Boat+DryMan_g,DryMan_g,ShellWt_g,Notes
8/3/21,088_09,111,M,1.02,34.05,33.03,,9.12,8.1,1.01,10.47,9.46,,2.04,1.03,0.99,19.18,18.19,,2.98,1.99,74.53,
8/3/21,109_13,124,M,0.99,29.93,28.94,,7.47,6.48,0.99,8.77,7.78,,2.29,1.3,1.01,17.76,16.75,,2.77,1.76,132.88,
8/3/21,099_24,99,M,1,25.15,24.15,,7.35,6.35,1.01,6.15,5.14,,1.91,0.9,1.02,13.49,12.47,,3.42,2.4,51.73,
8/3/21,088_05,108,M,0.98,27.77,26.79,,7.17,6.19,1.02,7.6,6.58,,1.57,0.55,1.03,15.61,14.58,,3.22,2.19,94.28,
8/3/21,030_04,127,M,1.03,49.8,48.77,,13.88,12.85,1,25.05,24.05,,6.83,5.83,1,26.79,25.79,,3.45,2.45,176.84,
8/3/21,017_40,99,F,0.78,22.66,21.88,,5.27,4.49,0.81,7.98,7.17,,1.84,1.03,0.81,11.01,10.2,,2.22,1.41,105.67,
8/3/21,030_18_1,125,F,0.98,52.67,51.69,,16.45,15.47,1.02,18.17,17.15,,3.86,2.84,1,23.98,22.98,,3.59,2.59,172.29,
8/3/21,030_19_1,135,F,0.98,24.34,23.36,,15.06,14.08,1.01,21.28,20.27,,4.24,3.23,1.06,54.5,53.44,,4.58,3.52,228.49,very thick/worn shell
8/3/21,030_02,131,F,0.99,57.34,56.35,,19.66,18.67,0.99,21.66,20.67,,4.51,3.52,0.98,21.35,20.37,,3.21,2.23,214.7,
8/3/21,088_08,103,M,0.8,30.95,30.15,,7.72,6.92,0.81,7.96,7.15,,1.97,1.16,0.8,16.22,15.42,,2.5,1.7,69.18,
8/3/21,017_06,110,F,0.8,32.12,31.32,,7.02,6.22,0.81,14.5,13.69,,2.92,2.11,0.8,12.89,12.09,,2.22,1.42,103.91,
8/3/21,088_47,107,F,0.79,30.47,29.68,,7.98,7.19,0.79,5.64,4.85,,1.17,0.38,0.8,16.91,16.11,,2.83,2.03,88.9,
8/3/21,088_16,111,F,0.79,27.48,26.69,,6.74,5.95,0.79,6.9,6.11,,1.3,0.51,0.79,14.81,14.02,,3.04,2.25,81.01,
8/3/21,030_48,125,F,0.99,51.39,50.4,,19.05,18.06,0.99,29.27,28.28,,6.61,5.62,1.01,24.29,23.28,,3.78,2.77,197.6,
8/3/21,054_03,85,F,0.8,12.81,12.01,,3.2,2.4,0.79,2.91,2.12,,1.07,0.28,0.8,6.55,5.75,,1.58,0.78,31.04,
8/3/21,030_07,135,F,0.98,56.35,55.37,,15.05,14.07,0.99,28.23,27.24,,5.91,4.92,1,29.82,28.82,,5.78,4.78,296.58,very thick/worn shell
8/3/21,088_17,116,F,1,33.51,32.51,,8.97,7.97,0.99,7.78,6.79,,1.53,0.54,0.99,20.04,19.05,,2.99,2,95.29,
8/4/21,040_42,150,F,1.01,72.62,71.61,,19.21,18.2,1.01,35.76,34.75,,8.91,7.9,0.98,42.67,41.69,,7.23,6.25,232.01,
8/4/21,109_08,102,NA,0.79,20.9,20.11,,5.59,4.8,0.83,2.29,1.46,,0.97,0.14,0.82,15.05,14.23,,2.67,1.85,71.68,
8/4/21,030_32,103,M,0.98,32.61,31.63,,8.32,7.34,0.98,19.5,18.52,,5.8,4.82,0.97,17.18,16.21,,2.66,1.69,158.98,
8/4/21,109_07,113,M,0.81,25.56,24.75,,6.46,5.65,0.8,3.33,2.53,,0.97,0.17,0.8,16.82,16.02,,2.92,2.12,86.28,
,030_37,118,,,,0,,,0,,,0,,,0,,,0,,,0,203.4,
,088_28,104,,,,0,,,0,,,0,,,0,,,0,,,0,79.9,
,056_06,NA,,,,0,,,0,,,0,,,0,,,0,,,0,NA,
,088_32,110,,,,0,,,0,,,0,,,0,,,0,,,0,81.94,
,088_45,104,,,,0,,,0,,,0,,,0,,,0,,,0,74.9,
,030_33,104,,,,0,,,0,,,0,,,0,,,0,,,0,145.23,
,030_03,131,,,,0,,,0,,,0,,,0,,,0,,,0,185.78,
,030_28,117,,,,0,,,0,,,0,,,0,,,0,,,0,142.11,
,109_04,95,,,,0,,,0,,,0,,,0,,,0,,,0,57.15,
,030_18_2,123,,,,0,,,0,,,0,,,0,,,0,,,0,193.9,
,040_32,82,,,,0,,,0,,,0,,,0,,,0,,,0,23.75,
,106_25,99,,,,0,,,0,,,0,,,0,,,0,,,0,45.47,
,030_09,128,,,,0,,,0,,,0,,,0,,,0,,,0,165.67,
,030_08,124,,,,0,,,0,,,0,,,0,,,0,,,0,150.25,
,099_47,90,,,,0,,,0,,,0,,,0,,,0,,,0,41.52,
,088_18,114,,,,0,,,0,,,0,,,0,,,0,,,0,90.45,
,040_40,151,,,,0,,,0,,,0,,,0,,,0,,,0,207.25,
,040_04,114,,,,0,,,0,,,0,,,0,,,0,,,0,74.85,
,030_05,127,,,,0,,,0,,,0,,,0,,,0,,,0,196.54,
,088_44,115,,,,0,,,0,,,0,,,0,,,0,,,0,97.66,
,088_40,112,,,,0,,,0,,,0,,,0,,,0,,,0,73.43,
,088_24,126,,,,0,,,0,,,0,,,0,,,0,,,0,134.4,
,088_33,108,,,,0,,,0,,,0,,,0,,,0,,,0,80.36,
,040_44,165,,,,0,,,0,,,0,,,0,,,0,,,0,274.61,
,088_41,141,,,,0,,,0,,,0,,,0,,,0,,,0,188.51,
,088_25,107,,,,0,,,0,,,0,,,0,,,0,,,0,69.43,
,088_06,112,,,,0,,,0,,,0,,,0,,,0,,,0,91.54,
,030_14,113,,,,0,,,0,,,0,,,0,,,0,,,0,171.38,
,103_42,NA,,,,0,,,0,,,0,,,0,,,0,,,0,34.34,
,030_22,116,,,,0,,,0,,,0,,,0,,,0,,,0,147.34,
,030_13,130,,,,0,,,0,,,0,,,0,,,0,,,0,181.75,
,088_29,93,,,,0,,,0,,,0,,,0,,,0,,,0,58.62,
,088_15,129,,,,0,,,0,,,0,,,0,,,0,,,0,143.03,
,088_13,156,,,,0,,,0,,,0,,,0,,,0,,,0,193.05,
,088_27,102,,,,0,,,0,,,0,,,0,,,0,,,0,54.73,
,088_07,101,,,,0,,,0,,,0,,,0,,,0,,,0,69.2,
,030_16,117,,,,0,,,0,,,0,,,0,,,0,,,0,171.26,
,030_44,128,,,,0,,,0,,,0,,,0,,,0,,,0,177.93,
,030_27,81,,,,0,,,0,,,0,,,0,,,0,,,0,75.84,
,106_24,110,,,,0,,,0,,,0,,,0,,,0,,,0,70.45,
,030_34,125,,,,0,,,0,,,0,,,0,,,0,,,0,196.73,
,030_26,134,,,,0,,,0,,,0,,,0,,,0,,,0,211.13,
,030_38,110,,,,0,,,0,,,0,,,0,,,0,,,0,150.65,
,109_01,101,,,,0,,,0,,,0,,,0,,,0,,,0,79.64,
,040_37,143,,,,0,,,0,,,0,,,0,,,0,,,0,197.88,
,030_40,131,,,,0,,,0,,,0,,,0,,,0,,,0,216.36,
,109_03,105,,,,0,,,0,,,0,,,0,,,0,,,0,52.93,
,088_38,103,,,,0,,,0,,,0,,,0,,,0,,,0,80.74,
,109_10,109,,,,0,,,0,,,0,,,0,,,0,,,0,76.89,
,109_05,111,,,,0,,,0,,,0,,,0,,,0,,,0,88.07,
,054_05,81,,,,0,,,0,,,0,,,0,,,0,,,0,26.16,
,030_29,131,,,,0,,,0,,,0,,,0,,,0,,,0,179.65,
,030_30,121,,,,0,,,0,,,0,,,0,,,0,,,0,165.89,
,088_34,111,,,,0,,,0,,,0,,,0,,,0,,,0,74.21,
,030_24,137,,,,0,,,0,,,0,,,0,,,0,,,0,241.63,
,017_22,105,,,,0,,,0,,,0,,,0,,,0,,,0,109.33,
,109_18,119,,,,0,,,0,,,0,,,0,,,0,,,0,122.87,
,030_25,141,,,,0,,,0,,,0,,,0,,,0,,,0,243.22,
,066_49,121,,,,0,,,0,,,0,,,0,,,0,,,0,105.33,
,025_27,98,,,,0,,,0,,,0,,,0,,,0,,,0,NA,
,088_48,107,,,,0,,,0,,,0,,,0,,,0,,,0,85.17,
,088_20,109,,,,0,,,0,,,0,,,0,,,0,,,0,79.4,
,030_31,121,,,,0,,,0,,,0,,,0,,,0,,,0,149.79,
,054_07,85,,,,0,,,0,,,0,,,0,,,0,,,0,30.23,
,088_26,115,,,,0,,,0,,,0,,,0,,,0,,,0,92.52,
,056_01,113,,,,0,,,0,,,0,,,0,,,0,,,0,62.61,
,103_36,106,,,,0,,,0,,,0,,,0,,,0,,,0,75.46,
,109_17,99,,,,0,,,0,,,0,,,0,,,0,,,0,81.7,
,106_05,102,,,,0,,,0,,,0,,,0,,,0,,,0,53.57,
,088_12,113,,,,0,,,0,,,0,,,0,,,0,,,0,83.85,
,103_39,115,,,,0,,,0,,,0,,,0,,,0,,,0,81.1,
,088_42,125,,,,0,,,0,,,0,,,0,,,0,,,0,143.49,
,082_31,105,,,,0,,,0,,,0,,,0,,,0,,,0,88.3,
,082_32,95,,,,0,,,0,,,0,,,0,,,0,,,0,59.88,
,109_02,97,,,,0,,,0,,,0,,,0,,,0,,,0,45.79,
,103_35,115,,,,0,,,0,,,0,,,0,,,0,,,0,88.38,
,025_25,95,,,,0,,,0,,,0,,,0,,,0,,,0,34.96,
,106_02,96,,,,0,,,0,,,0,,,0,,,0,,,0,46.58,
,099_31,52,,,,0,,,0,,,0,,,0,,,0,,,0,9.63,
,106_11,90,,,,0,,,0,,,0,,,0,,,0,,,0,40.74,
,109_12,91,,,,0,,,0,,,0,,,0,,,0,,,0,41.46,
,021_15,149,,,,0,,,0,,,0,,,0,,,0,,,0,217.1,
,040_39,136,,,,0,,,0,,,0,,,0,,,0,,,0,148.54,
,099_25,127,,,,0,,,0,,,0,,,0,,,0,,,0,90.51,
,030_47,110,,,,0,,,0,,,0,,,0,,,0,,,0,129.11,
,109_15,96,,,,0,,,0,,,0,,,0,,,0,,,0,52.35,
,030_10,129,,,,0,,,0,,,0,,,0,,,0,,,0,195.68,
,025_45,146,,,,0,,,0,,,0,,,0,,,0,,,0,187.95,
,017_42,107,,,,0,,,0,,,0,,,0,,,0,,,0,101.12,
,106_41,97,,,,0,,,0,,,0,,,0,,,0,,,0,47.7,
,030_36,141,,,,0,,,0,,,0,,,0,,,0,,,0,267.47,
,030_50,120,,,,0,,,0,,,0,,,0,,,0,,,0,153.53,
,030_19_2,122,,,,0,,,0,,,0,,,0,,,0,,,0,155.63,
,030_39,92,,,,0,,,0,,,0,,,0,,,0,,,0,90.51,
,030_35,119,,,,0,,,0,,,0,,,0,,,0,,,0,171.24,
,103_05,115,,,,0,,,0,,,0,,,0,,,0,,,0,75.98,
,076_08,90,,,,0,,,0,,,0,,,0,,,0,,,0,36.26,
,099_40,110,,,,0,,,0,,,0,,,0,,,0,,,0,89.54,
,025_10,136,,,,0,,,0,,,0,,,0,,,0,,,0,153.32,
,088_31,119,,,,0,,,0,,,0,,,0,,,0,,,0,117.3,
,088_11,108,,,,0,,,0,,,0,,,0,,,0,,,0,92.95,
,103_12,NA,,,,0,,,0,,,0,,,0,,,0,,,0,85.26,
,109_16,102,,,,0,,,0,,,0,,,0,,,0,,,0,63.34,
,103_33,127,,,,0,,,0,,,0,,,0,,,0,,,0,94.49,
,106_49,108,,,,0,,,0,,,0,,,0,,,0,,,0,NA,
,103_23,116,,,,0,,,0,,,0,,,0,,,0,,,0,83.97,
,103_32,123,,,,0,,,0,,,0,,,0,,,0,,,0,104.25,
,109_11,121,,,,0,,,0,,,0,,,0,,,0,,,0,106.14,
,066_28,115,,,,0,,,0,,,0,,,0,,,0,,,0,67.26,
,060_13,110,,,,0,,,0,,,0,,,0,,,0,,,0,NA,
,103_27,118,,,,0,,,0,,,0,,,0,,,0,,,0,95.34,
,106_31,108,,,,0,,,0,,,0,,,0,,,0,,,0,46.72,
,103_09,125,,,,0,,,0,,,0,,,0,,,0,,,0,106.81,
,017_11,77,,,,0,,,0,,,0,,,0,,,0,,,0,37.63,
,060_46,131,,,,0,,,0,,,0,,,0,,,0,,,0,131.65,
,103_18,112,,,,0,,,0,,,0,,,0,,,0,,,0,72.38,
,103_03,109,,,,0,,,0,,,0,,,0,,,0,,,0,105.89,
,054_44,82,,,,0,,,0,,,0,,,0,,,0,,,0,26.33,
,025_46,102,,,,0,,,0,,,0,,,0,,,0,,,0,62.71,
,025_13,95,,,,0,,,0,,,0,,,0,,,0,,,0,46.67,
,025_43,93,,,,0,,,0,,,0,,,0,,,0,,,0,39.55,
,103_20,120,,,,0,,,0,,,0,,,0,,,0,,,0,73.65,
,103_07,128,,,,0,,,0,,,0,,,0,,,0,,,0,92.91,
,103_41,104,,,,0,,,0,,,0,,,0,,,0,,,0,43.64,
,103_01,110,,,,0,,,0,,,0,,,0,,,0,,,0,85.61,
,099_44,132,,,,0,,,0,,,0,,,0,,,0,,,0,150.54,
,025_29,115,,,,0,,,0,,,0,,,0,,,0,,,0,85.84,
,028_01,80,,,,0,,,0,,,0,,,0,,,0,,,0,43.33,
,103_29,118,,,,0,,,0,,,0,,,0,,,0,,,0,94.69,
,040_29,158,,,,0,,,0,,,0,,,0,,,0,,,0,214.15,
,025_03,103,,,,0,,,0,,,0,,,0,,,0,,,0,47.18,
,025_15,94,,,,0,,,0,,,0,,,0,,,0,,,0,39.5,
,106_23,104,,,,0,,,0,,,0,,,0,,,0,,,0,48.52,
,060_50,105,,,,0,,,0,,,0,,,0,,,0,,,0,55.86,
,076_38,92,,,,0,,,0,,,0,,,0,,,0,,,0,32.94,
,025_36,148,,,,0,,,0,,,0,,,0,,,0,,,0,243.8,
,025_02,142,,,,0,,,0,,,0,,,0,,,0,,,0,156.95,
,103_19,129,,,,0,,,0,,,0,,,0,,,0,,,0,101.3,
,076_33,95,,,,0,,,0,,,0,,,0,,,0,,,0,52.24,
,076_09,85,,,,0,,,0,,,0,,,0,,,0,,,0,30.12,
,060_14,75,,,,0,,,0,,,0,,,0,,,0,,,0,17.83,
,106_10,97,,,,0,,,0,,,0,,,0,,,0,,,0,44.3,
,076_23,86,,,,0,,,0,,,0,,,0,,,0,,,0,31.07,
,076_32,84,,,,0,,,0,,,0,,,0,,,0,,,0,30.6,
20210812,060_48,97,M,1.02,17.96,16.94,,4.76,3.74,0.97,3.35,2.38,,1.37,0.4,1.01,9.15,8.14,,2.15,1.14,43.49,
20210812,040_02,143,F,1,48.7,47.7,,12.26,11.26,0.98,14.71,13.73,,2.72,1.74,0.98,32.2,31.22,,4.28,3.3,176.97,previously site 37; now site 40
20210812,076_12,89,M,0.82,10.39,9.57,,2.93,2.11,0.8,5.79,4.99,,2.03,1.23,0.79,6.98,6.19,,1.54,0.75,35.72,
20210812,103_08,123,M,0.99,30.7,29.71,,7.85,6.86,0.97,4.79,3.82,,1.57,0.6,0.97,20.21,19.24,,3.43,2.46,86.21,
20210812,099_45,108,F,0.97,35.63,34.66,,9.9,8.93,0.98,7.92,6.94,,2.15,1.17,1,16.97,15.97,,2.87,1.87,74.51,
20210812,103_17,115,M,1.01,25.32,24.31,,6.6,5.59,1,12.55,11.55,,3.91,2.91,1.02,16.87,15.85,,2.88,1.86,81.75,
20210812,066_20,100,M,0.08,21.49,21.41,,5.12,5.04,0.8,3.81,3.01,,1.15,0.35,0.8,12.27,11.47,,2.25,1.45,66.19,
20210812,103_44,114,F,0.98,29.9,28.92,,7.62,6.64,1.03,9.19,8.16,,2.59,1.56,0.98,16.55,15.57,,2.84,1.86,70.59,
20210812,099_49,116,F,1.01,49.8,48.79,,13.63,12.62,1.1,9.52,8.42,,2.26,1.16,1.02,26.35,25.33,,4.14,3.12,111.46,
20210812,099_46,98,F,0.81,23.13,22.32,,6.33,5.52,0.81,8.69,7.88,,2.44,1.63,0.8,15.57,14.77,,2.42,1.62,71.65,
20210812,106_33,83,M,0.78,14.57,13.79,,3.98,3.2,0.79,3.26,2.47,,1.29,0.5,0.81,9.42,8.61,,1.88,1.07,34.2,
