Station,Cast,Bottle_ID,Filtered,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity bottle,Notes,Preservation,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Salinity,Salinity_FLAG,Temperature,Temperature_FLAG,Dissolved_oxygen,Depth_meters_CTD,TA,TA_FLAG,DIC,DIC_FLAG
34,Bottom,RSA_307,,20211006,41°35.99',67°30.08',41°36.01',67°30.29',14.7,26.9,22:30,22:31,22:32,22:35,22:36,D12?,sal bottle recorded as D13,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
34,Surface,RSA_308,Y,20211006,41°35.99',67°30.08',41°36.01',67°30.29',14.7,26.9,NA,22:31,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
34,Surface,RSA_309,,20211006,41°35.99',67°30.08',41°36.01',67°30.29',14.7,26.9,NA,22:31,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
33,Bottom,RSA_310,Y,20211006,41°30.03',67°42.03',41°30.12',67°42.18',23.3,42.6,23:45,23:45,23:46,23:49,23:49,,petcock fell out; switched niskins,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
33,Bottom,RSA_311,,20211006,41°30.03',67°42.03',41°30.12',67°42.18',23.3,42.6,23:45,23:45,23:46,23:49,23:49,,petcock fell out; switched niskins,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
33,Surface,RSA_312,,20211006,41°30.03',67°42.03',41°30.12',67°42.18',23.3,42.6,NA,23:46,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
36,Bottom,RSA_313,,20211007,41°30.00',67°06.16',41°29.95',67°06.00',27.9,51.0,2:58,2:58,2:59,3:02,3:03,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
36,Surface,RSA_314,,20211007,41°30.00',67°06.16',41°29.95',67°06.00',27.9,51.0,NA,2:57,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
37,Bottom,RSA_317,,20211007,41°24.07',67°00.06',41°23.95',66°59.99',33.7,61.6,3:55,3:56,3:57,4:00,4:01,D13?,sal bottle recorded as D14,Mercuric,,,,,,,,,,,,,,,,,
37,Surface,RSA_316,,20211007,41°24.07',67°00.06',41°23.95',66°59.99',33.7,61.6,NA,3:56,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
37,Surface,RSA_315,Y,20211007,41°24.07',67°00.06',41°23.95',66°59.99',33.7,61.6,NA,3:56,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
38,Bottom,RSA_318,,20211007,41°18.02',67°05.95',41°17.97',67°05.92',31.5,57.6,5:09,5:10,5:11,5:14,5:15,,,Mercuric,,,,,,,,,,,,,,,,,
38,Surface,RSA_319,,20211007,41°18.02',67°05.95',41°17.97',67°05.92',31.5,57.6,NA,5:10,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
39,Bottom,RSA_320,,20211007,41°17.93',66°53.94',41°17.80',66°53.90',37.4,68.4,6:12,6:13,6:15,6:18,6:19,,,Mercuric,,,,,,,,,,,,,,,,,
39,Surface,RSA_321,,20211007,41°17.93',66°53.94',41°17.80',66°53.90',37.4,68.4,NA,6:14,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
40,Bottom,RSA_322,,20211007,41°17.95',66°41.96',41°17.87',66°41.96',41,75.0,7:18,7:19,7:20,7:23,7:24,,,Mercuric,,,,,,,,,,,,,,,,,
40,Surface,RSA_323,,20211007,41°17.95',66°41.96',41°17.87',66°41.96',41,75.0,NA,7:20,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
41,Bottom,RSA_324,Y,20211007,41°24.03',66°36.06',41°23.93',66°36.05',46.3,84.7,8:25,8:25,8:26,8:29,8:30,,,Mercuric,,,,,,,,,,,,,,,,,
41,Bottom,RSA_325,,20211007,41°24.03',66°36.06',41°23.93',66°36.05',46.3,84.7,8:25,8:25,8:26,8:29,8:30,,,Mercuric,,,,,,,,,,,,,,,,,
41,Surface,RSA_326,,20211007,41°24.03',66°36.06',41°23.93',66°36.05',46.3,84.7,NA,8:27,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
42,Bottom,RSA_327,,20211007,41°17.95',66°29.98',41°17.84',66°30.08',49,89.6,9:36,9:37,9:38,9:41,9:42,D14?,sal bottle recorded as D15,Mercuric,,,,,,,,,,,,,,,,,
42,Surface,RSA_328,,20211007,41°17.95',66°29.98',41°17.84',66°30.08',49,89.6,NA,9:37,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
43,Bottom,RSA_329,,20211007,41°12.05',66°24.11',41°12.00',66°24.22',50.4,92.2,10:31,10:32,10:33,10:36,10:38,,,Mercuric,,,,,,,,,,,,,,,,,
43,Surface,RSA_330,,20211007,41°12.05',66°24.11',41°12.00',66°24.22',50.4,92.2,NA,10:32,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
44,Bottom,RSA_331,,20211007,41°11.99',66°35.91',41°11.94',66°36.09',45,82.3,11:30,11:31,11:32,11:34,11:35,D15?,sal bottle recorded as D16,Mercuric,,,,,,,,,,,,,,,,,
44,Surface,RSA_332,,20211007,41°11.99',66°35.91',41°11.94',66°36.09',45,82.3,NA,11:31,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
45,Bottom,RSA_333,,20211007,41°11.99',66°47.94',41°12.06',66°48.06',38.8,71.0,12:31,12:32,12:32,12:34,12:35,,,Mercuric,,,,,,,,,,,,,,,,,
45,Surface,RSA_334,,20211007,41°11.99',66°47.94',41°12.06',66°48.06',38.8,71.0,NA,12:32,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
46,Bottom,RSA_335,,20211007,41°06.07',66°42.08',41°06.06',66°42.21',42.5,77.7,13:33,13:34,13:35,13:36,13:37,,,Mercuric,,,,,,,,,,,,,,,,,
46,Surface,RSA_336,,20211007,41°06.07',66°42.08',41°06.06',66°42.21',42.5,77.7,NA,13:34,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
47,Bottom,RSA_337,,20211007,41°00.02',66°36.02',40°59.96',66°35.95',45.6,83.4,14:32,14:32,14:34,14:35,14:36,,,Mercuric,,,,,,,,,,,,,,,,,
47,Surface,RSA_338,,20211007,41°00.02',66°36.02',40°59.96',66°35.95',45.6,83.4,NA,14:32,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
48,Bottom,RSA_341,,20211007,41°00.01',66°47.98',41°00.07',66°47.97',41.3,75.5,15:37,15:37,15:39,15:42,15:43,,uncertain about bottle numbers; sunny & calm,Mercuric,,,,,,,,,,,,,,,,,
48,Surface,RSA_340,,20211007,41°00.01',66°47.98',41°00.07',66°47.97',41.3,75.5,NA,15:37,NA,NA,NA,,uncertain about bottle numbers; sunny & calm,Mercuric,,,,,,,,,,,,,,,,,
48,Surface,RSA_339,Y,20211007,41°00.01',66°47.98',41°00.07',66°47.97',41.3,75.5,NA,15:37,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
50,Bottom,RSA_342,,20211007,41°05.94',66°53.93',41°06.03',66°53.84',37.5,68.6,16:35,16:35,16:36,16:38,16:39,,,Mercuric,,,,,,,,,,,,,,,,,
50,Surface,RSA_343,,20211007,41°05.94',66°53.93',41°06.03',66°53.84',37.5,68.6,NA,16:36,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
51,Bottom,RSA_344,,20211007,41°11.94',66°59.95',41°11.93',66°59.91',35.9,65.7,17:57,17:57,17:58,18:00,18:01,,,Mercuric,,,,,,,,,,,,,,,,,
51,Surface,RSA_345,,20211007,41°11.94',66°59.95',41°11.93',66°59.91',35.9,65.7,NA,17:57,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
56,Bottom,RSA_346,,20211007,41°11.99',67°11.93',41°11.98',67°11.93',31.5,57.6,19:07,19:07,19:08,19:10,19:11,,,Mercuric,,,,,,,,,,,,,,,,,
56,Surface,RSA_347,,20211007,41°11.99',67°11.93',41°11.98',67°11.93',31.5,57.6,NA,19:07,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
55,Bottom,RSA_348,,20211007,41°06.01',67°06.01',41°05.72',67°05.87',34.2,62.5,20:08,20:08,20:09,20:10,20:12,,,Mercuric,,,,,,,,,,,,,,,,,
55,Surface,RSA_349,,20211007,41°06.01',67°06.01',41°05.72',67°05.87',34.2,62.5,NA,20:09,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
52,Bottom,RSA_350,,20211007,40°59.97',67°00.00',40°59.83',66°59.95',37.8,69.1,20:57,20:57,20:58,21:00,21:02,,,Mercuric,,,,,,,,,,,,,,,,,
52,Surface,RSA_351,,20211007,40°59.97',67°00.00',40°59.83',66°59.95',37.8,69.1,NA,20:58,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
49,Bottom,RSA_352,,20211007,40°53.90',66°53.92',40°53.75',66°53.88',48.4,88.5,21:47,21:48,21:49,21:51,21:52,D16?,sal bottle recorded as D17,Mercuric,,,,,,,,,,,,,,,,,
49,Surface,RSA_354,,20211007,40°53.90',66°53.92',40°53.75',66°53.88',48.4,88.5,NA,21:48,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
49,Surface,RSA_353,Y,20211007,40°53.90',66°53.92',40°53.75',66°53.88',48.4,88.5,NA,21:48,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
53,Bottom,RSA_355,Y,20211007,40°48.01',67°00.04',40°47.98',67°00.16',52.4,95.8,22:35,22:36,22:37,22:39,22:41,,,Mercuric,,,,,,,,,,,,,,,,,
53,Bottom,RSA_356,,20211007,40°48.01',67°00.04',40°47.98',67°00.16',52.4,95.8,22:35,22:36,22:37,22:39,22:41,,,Mercuric,,,,,,,,,,,,,,,,,
53,Surface,RSA_357,Y,20211007,40°48.01',67°00.04',40°47.98',67°00.16',52.4,95.8,NA,22:36,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
53,Surface,RSA_358,,20211007,40°48.01',67°00.04',40°47.98',67°00.16',52.4,95.8,NA,22:36,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
54,Bottom,RSA_359,,20211007,40°53.77',67°05.95',40°53.93',67°06.17',46.1,84.3,23:27,23:27,23:29,23:30,23:32,,,Mercuric,,,,,,,,,,,,,,,,,
54,Surface,RSA_360,,20211007,40°53.77',67°05.95',40°53.93',67°06.17',46.1,84.3,NA,23:28,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
57,Bottom,RSA_362,,20211008,41°00.12',67°12.18',41°00.12',67°12.28',39.6,72.4,0:40,0:41,0:42,0:44,0:45,,,Mercuric,,,,,,,,,,,,,,,,,
57,Surface,RSA_363,,20211008,41°00.12',67°12.18',41°00.12',67°12.28',39.6,72.4,NA,0:41,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
61,Bottom,RSA_361,,20211008,41°06.00',67°17.98',41°06.08',67°18.06',32.7,59.8,1:28,1:28,1:30,1:31,1:32,,,Mercuric,,,,,,,,,,,,,,,,,
61,Surface,RSA_364,,20211008,41°06.00',67°17.98',41°06.08',67°18.06',32.7,59.8,NA,1:29,NA,NA,NA,,,Mercuric,,,,,,,,,,,,,,,,,
67,Bottom,RSA_365,,20211008,41°06.00',67°29.94',41°06.01',67°29.95',30.5,55.8,2:42,2:43,2:44,2:46,2:47,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
67,Surface,RSA_366,,20211008,41°06.00',67°29.94',41°06.01',67°29.95',30.5,55.8,NA,2:43,NA,NA,NA,,,Benzalkonium and mercuric,,,,,,,,,,,,,,,,,
