Station,CTDDepth,BottomDepth,BottomSalinity,SurfaceDepth,SurfaceSalinity
70,70.3653190735515,69.5,32.8626861512018,1.5,32.1594048533642
71,76.9589353206422,76.5,32.9372901285034,1.5,32.1260783105446
72,86.3872155347298,86.5,33.3013995686583,1.5,32.3128350110202
76,88.4802405132424,88.5,33.5343714247279,1.5,32.3515399700884
77,91.9815049846619,91.5,33.5154711511954,1.5,32.2586793489899
78,80.6930278031106,80.5,33.3025824812369,1.5,32.4241362607675
73,68.2275738945301,67.5,32.7356000983191,1.5,32.5241848599288
74,60.8733349920606,60.5,32.8495732545298,1.5,32.7481705944679
79,61.0904416012339,60.5,32.9553387463885,1.5,32.8718357241662
75,69.9643275997567,69.5,32.8579329644462,1.5,32.7235054443141
80,78.925479116808,78.5,32.938612754831,1.5,32.4612855732853
82,74.0280830112675,74.5,32.9560359296359,1.5,32.8279698193788
83,66.5681198659915,65.5,32.9292363427092,1.5,32.4745471848539
84,79.7568899651213,79.5,33.0663023814674,1.5,32.7837562203851
86,90.1330116436312,89.5,33.9031722794551,1.5,32.7457691333104
87,90.6447250331383,90.5,34.0658538250258,1.5,32.6625878226197
93,85.8077456444509,85.5,33.2598862931374,1.5,32.8449798723529
88,73.7972752560137,73.5,33.0296723199246,1.5,32.8995024345634
85,66.6373472677611,66.5,32.9173297684713,1.5,32.8049452684684
89,62.6885185991645,62.5,32.8330365313475,1.5,32.8659803438365
90,61.4215480277109,61.5,32.8400055214655,1.5,32.8593457859549
91,67.0768889019758,66.5,32.8384430240376,1.5,32.7152949878136
97,65.2082441403464,65.5,32.8699483841091,1.5,32.7791103683677
96,67.798988803208,67.5,32.8990873514435,1.5,32.8280809219353
92,66.768335342826,66.5,32.8275392894608,1.5,32.6897120957893
95,73.1029743649127,72.5,32.9205220694756,1.5,32.4920941391105
94,83.9894993823824,83.5,33.0639435532713,1.5,32.8436631692501
104,81.4848693508057,80.5,33.1648511344921,1.5,32.8788739280078
103,77.0744471341696,77.5,32.9800756675094,1.5,32.873437504212
102,73.9178042768837,73.5,32.9452432024235,1.5,32.8608185949128
98,66.2045375605653,66.5,32.9066594976603,1.5,32.8538563611881
100,58.4113928596927,58.5,32.9304396289774,1.5,32.9360892028692
99,58.7512869374655,58.5,32.8423272998761,1.5,32.8231451393477
101,56.5316083250789,55.5,32.8979647810585,1.5,32.8732464470368
105,58.5296916171261,58.5,32.8455947968401,1.5,32.7470957920318
106,71.1257611184895,71.5,32.9782332486634,1.5,32.8618030112566
109,67.474179197996,67.5,32.9602054785925,1.5,32.9478069836263
110,69.6604383728523,69.5,32.9276045395448,1.5,32.9131898495953
108,66.3877926249516,66.5,32.8915366687149,1.5,32.7966284410699
107,54.8611954059613,54.5,32.7150584083853,1.5,32.6124160307453
112,70.4049968144988,70.5,32.9684906783852,1.5,32.8320789883442
113,60.0742417874272,59.5,32.8357950281176,1.5,32.7828456816294
