ID,Sample name,Sample no,Type,Analysis time,Spl volume(ml),Analysis result,Area net,Temperature(C),a,b,r,Bl before,Bl after,Time int,Area gross,Int State ,Analyzer,
30376,ESL_08b_24,,Valid,11/9/2021 12:08:25 PM,0.8,1134.65245181582,8951.36161467433,0,6872.59765625,2290.0888671875,0.627853989601135,1.7940000295639,2.55750012397766,134.5,9244,normally,,
30377,ESL_08b_24,,Valid,11/9/2021 12:11:57 PM,0.8,1131.73000954209,8946.00749266148,0,6872.59765625,2290.0888671875,0.627853989601135,1.78600001335144,2.52500009536743,135,9237,normally,,
30378,ESL_08b_24,,Out of d,11/9/2021 12:15:28 PM,0.8,1124.14707431274,8932.115016222,0,6872.59765625,2290.0888671875,0.627853989601135,1.72199988365173,2.37999987602234,135,9209,normally,,
30379,ESL_08b_24,,Valid,11/9/2021 12:18:59 PM,0.8,1130.66393882711,8944.05437532067,0,6872.59765625,2290.0888671875,0.627853989601135,1.67999994754791,2.51250004768372,134.5,9226,normally,,
30380,ESL_08b_24,,Neglect,11/9/2021 12:23:28 PM,0.6,-85.8329341592561,6754.65862807631,0,6872.59765625,2290.0888671875,0.627853989601135,1.71599996089935,2.44749999046326,126.5,7018,normally,,
30381,ESL_08b_24,,Out of d,11/9/2021 12:26:52 PM,0.6,-99.74496094808,6735.54276147485,0,6872.59765625,2290.0888671875,0.627853989601135,1.66799986362457,2.41499996185303,131.5,7004,normally,,
30382,ESL_08b_24,,Out of d,11/9/2021 12:30:06 PM,0.6,-108.29367262477,6723.7963758111,0,6872.59765625,2290.0888671875,0.627853989601135,1.64399981498718,2.50750017166138,121.5,6976,normally,,
30383,ESL_08b_24,,Out of d,11/9/2021 12:33:23 PM,0.6,-106.127002954525,6726.77349546552,0,6872.59765625,2290.0888671875,0.627853989601135,1.75800001621246,2.44000005722046,123.5,6986,normally,,
30384,ESL_08b_24,,Out of d,11/9/2021 12:36:37 PM,0.6,-138.5437638567,6682.23113751411,0,6872.59765625,2290.0888671875,0.627853989601135,1.65599989891052,2.42249989509583,121.5,6930,normally,,
30385,ESL_08b_24,,Out of d,11/9/2021 12:39:59 PM,0.6,-154.207377596082,6660.70849704742,0,6872.59765625,2290.0888671875,0.627853989601135,1.62199997901917,2.3050000667572,129,6914,normally,,
30386,ESL_08b_24,,Out of d,11/9/2021 12:43:16 PM,0.6,-96.5010980747701,6740.00000202656,0,6872.59765625,2290.0888671875,0.627853989601135,1.68400001525879,2.29999995231628,125,6989,normally,,
30387,ESL_08b_24,,Out of d,11/9/2021 12:46:34 PM,0.6,-116.628589500962,6712.34375560284,0,6872.59765625,2290.0888671875,0.627853989601135,1.67400002479553,2.43249988555908,125,6969,normally,,
30388,ESL_08b_24,,Neglect,11/9/2021 12:50:12 PM,0.6,-95.6085738041827,6741.22637796402,0,6872.59765625,2290.0888671875,0.627853989601135,1.74799990653992,2.38750004768372,129.5,7009,normally,,
30389,ESL_08b_24,,Unknow,11/9/2021 12:53:31 PM,0.6,-94.3925575306658,6742.8972491622,0,6872.59765625,2290.0888671875,0.627853989601135,1.73600006103516,2.42499995231628,125.5,7004,normally,,
30390,RSA_111A,,Neglect,11/9/2021 12:59:47 PM,1,2125.97747574308,11741.2750053406,0,6872.59765625,2290.0888671875,0.627853989601135,1.77999997138977,2.48749995231628,140,12040,normally,,
30391,RSA_111A,,Unknow,11/9/2021 1:03:33 PM,1,2284.5498628775,12104.4198637605,0,6872.59765625,2290.0888671875,0.627853989601135,1.55800008773804,2.3675000667572,145.5,12390,normally,,
30392,RSA_111A,,Unknow,11/9/2021 1:07:16 PM,1,2254.79207610934,12036.2718875706,0,6872.59765625,2290.0888671875,0.627853989601135,1.7299998998642,2.39249992370605,142.5,12330,normally,,
30393,RSA_111A,,Unknow,11/9/2021 1:10:48 PM,1,2243.02860886129,12009.3325021863,0,6872.59765625,2290.0888671875,0.627853989601135,1.60000002384186,2.68499994277954,131,12290,normally,,
30394,RSA_111A,,Unknow,11/9/2021 1:14:31 PM,1,2251.88306900479,12029.6100027859,0,6872.59765625,2290.0888671875,0.627853989601135,1.7059999704361,2.50999999046326,142.5,12330,normally,,
30395,RSA_111A,,Unknow,11/9/2021 1:18:13 PM,1,2299.55480391706,12138.782512188,0,6872.59765625,2290.0888671875,0.627853989601135,1.66999983787537,2.57249999046326,142,12440,normally,,
30396,RSA_111A,,Unknow,11/9/2021 1:21:57 PM,1,2302.99517262881,12146.6612622738,0,6872.59765625,2290.0888671875,0.627853989601135,1.75,2.49249982833862,143,12450,normally,,
30397,RSA_111B,,Neglect,11/9/2021 1:29:56 PM,1,2275.18456836505,12082.9725070596,0,6872.59765625,2290.0888671875,0.627853989601135,1.71999990940094,2.63499999046326,141,12390,normally,,
30398,RSA_111B,,Valid,11/9/2021 1:33:38 PM,1,2254.9272775573,12036.5815109014,0,6872.59765625,2290.0888671875,0.627853989601135,1.75599992275238,2.51749992370605,142,12340,normally,,
30399,RSA_111B,,Valid,11/9/2021 1:37:18 PM,1,2252.73697050457,12031.5655131042,0,6872.59765625,2290.0888671875,0.627853989601135,1.73199999332428,2.68999981880188,139.5,12340,normally,,
30400,RSA_111B,,Out of d,11/9/2021 1:41:01 PM,1,2240.8245498458,12004.2850111723,0,6872.59765625,2290.0888671875,0.627853989601135,1.71999990940094,2.4449999332428,142,12300,normally,,
30401,RSA_111B,,Valid,11/9/2021 1:44:45 PM,1,2250.64152876147,12026.7667652965,0,6872.59765625,2290.0888671875,0.627853989601135,1.72199988365173,2.47499990463257,144.5,12330,normally,,
30402,RSA_111B,,Neglect,11/9/2021 2:04:05 PM,1,2243.51384408077,12010.4437339604,0,6872.59765625,2290.0888671875,0.627853989601135,1.7700001001358,2.50500011444092,149.5,12330,normally,,
30403,RSA_111B,,Valid,11/9/2021 2:07:46 PM,1,2239.73943817362,12001.8000090122,0,6872.59765625,2290.0888671875,0.627853989601135,1.71999990940094,2.53999996185303,140,12300,normally,,
30404,RSA_111B,,Valid,11/9/2021 2:11:27 PM,1,2241.82511014458,12006.5763831735,0,6872.59765625,2290.0888671875,0.627853989601135,1.62199997901917,2.41249990463257,140.5,12290,normally,,
30405,RSA_111B,,Valid,11/9/2021 2:15:11 PM,1,2240.32609562297,12003.1435067058,0,6872.59765625,2290.0888671875,0.627853989601135,1.62800002098083,2.36999988555908,143.5,12290,normally,,
30406,RSA_112A,,Neglect,11/9/2021 2:20:19 PM,1,2178.86232117627,11862.3860011101,0,6872.59765625,2290.0888671875,0.627853989601135,1.53600001335144,2.27999997138977,145.5,12140,normally,,
30407,RSA_112A,,Valid,11/9/2021 2:24:03 PM,1,2131.60263891656,11754.1571289003,0,6872.59765625,2290.0888671875,0.627853989601135,1.57199990749359,2.27250003814697,143.5,12030,normally,,
30408,RSA_112A,,Valid,11/9/2021 2:27:59 PM,1,2132.06675416685,11755.2199940681,0,6872.59765625,2290.0888671875,0.627853989601135,1.53999996185303,2.38000011444092,155.5,12060,normally,,
30409,RSA_112A,,Out of d,11/9/2021 2:31:44 PM,1,2121.34877649639,11730.6748727262,0,6872.59765625,2290.0888671875,0.627853989601135,1.57200014591217,2.43249988555908,144.5,12020,normally,,
30410,RSA_112A,,Valid,11/9/2021 2:35:36 PM,1,2129.76378711188,11749.945994854,0,6872.59765625,2290.0888671875,0.627853989601135,1.51400005817413,2.30250000953674,152,12040,normally,,
30411,RSA_112A,,Neglect,11/9/2021 2:39:47 PM,1,2115.07091505843,11716.2980121374,0,6872.59765625,2290.0888671875,0.627853989601135,1.49799990653992,2.32999992370605,143,11990,normally,,
30412,RSA_112A,,Out of d,11/9/2021 2:43:32 PM,1,2125.04290416593,11739.1347533762,0,6872.59765625,2290.0888671875,0.627853989601135,1.49400007724762,2.25499987602234,144.5,12010,normally,,
30413,RSA_112A,,Out of d,11/9/2021 2:47:11 PM,1,2111.67650005683,11708.5245001316,0,6872.59765625,2290.0888671875,0.627853989601135,1.42199993133545,2.3675000667572,138,11970,normally,,
30414,RSA_112A,,Out of d,11/9/2021 2:51:03 PM,1,2116.28221814092,11719.0720038414,0,6872.59765625,2290.0888671875,0.627853989601135,1.49800002574921,2.32999992370605,152,12010,normally,,
30415,RSA_112A,,Out of d,11/9/2021 2:54:56 PM,1,2131.44319290573,11753.791983366,0,6872.59765625,2290.0888671875,0.627853989601135,1.5220000743866,2.35000014305115,153,12050,normally,,
30416,RSA_112A,,Valid,11/9/2021 2:58:44 PM,1,2118.35887972286,11723.8277434111,0,6872.59765625,2290.0888671875,0.627853989601135,1.51600003242493,2.37750005722046,147,12010,normally,,
30417,RSA_112A,,Valid,11/9/2021 3:02:30 PM,1,2123.11797687295,11734.7264988124,0,6872.59765625,2290.0888671875,0.627853989601135,1.50800001621246,2.25,146.5,12010,normally,,
30418,RSA_112A,,Valid,11/9/2021 3:06:13 PM,1,2119.51560591307,11726.4767491817,0,6872.59765625,2290.0888671875,0.627853989601135,1.51800012588501,2.30749988555908,143,12000,normally,,
30419,RSA_112B,,Neglect,11/9/2021 3:12:25 PM,1,2210.92805604956,11935.8193835616,0,6872.59765625,2290.0888671875,0.627853989601135,1.52600002288818,2.46249985694885,142.5,12220,normally,,
30420,RSA_112B,,Valid,11/9/2021 3:16:09 PM,1,2269.34428841656,12069.5977469683,0,6872.59765625,2290.0888671875,0.627853989601135,1.5460000038147,2.33500003814697,144.5,12350,normally,,
30421,RSA_112B,,Valid,11/9/2021 3:19:48 PM,1,2267.51018974166,12065.3974980116,0,6872.59765625,2290.0888671875,0.627853989601135,1.52999997138977,2.56500005722046,139,12350,normally,,
30422,RSA_112B,,Out of d,11/9/2021 3:23:34 PM,1,2280.81944847547,12095.8768832684,0,6872.59765625,2290.0888671875,0.627853989601135,1.65999984741211,2.27250003814697,144.5,12380,normally,,
30423,RSA_112B,,Out of d,11/9/2021 3:27:12 PM,1,2273.47895990253,12079.0665121078,0,6872.59765625,2290.0888671875,0.627853989601135,1.54399991035461,2.52749991416931,138,12360,normally,,
30424,RSA_112B,,Valid,11/9/2021 3:30:51 PM,1,2266.36263595986,12062.7694978714,0,6872.59765625,2290.0888671875,0.627853989601135,1.60800004005432,2.50999999046326,139.5,12350,normally,,
30425,RSA_112B,,Neglect,11/9/2021 3:34:38 PM,1,2268.6397882299,12067.9843789339,0,6872.59765625,2290.0888671875,0.627853989601135,1.66999983787537,2.57750010490417,137.5,12360,normally,,
30426,RSA_112B,,Valid,11/9/2021 3:38:22 PM,1,2269.18316154188,12069.2287521064,0,6872.59765625,2290.0888671875,0.627853989601135,1.67599999904633,2.40499997138977,142.5,12360,normally,,
30427,RSA_112B,,Valid,11/9/2021 3:42:01 PM,1,2267.89675478439,12066.2827663124,0,6872.59765625,2290.0888671875,0.627853989601135,1.65199983119965,2.4449999332428,138.5,12350,normally,,
30428,RSA_112B,,Out of d,11/9/2021 3:45:55 PM,1,2275.59044972966,12083.9020114541,0,6872.59765625,2290.0888671875,0.627853989601135,1.65199983119965,2.48000001907349,153,12400,normally,,
30429,RSA_112B,,Out of d,11/9/2021 3:49:43 PM,1,2262.2529617699,12053.3579787612,0,6872.59765625,2290.0888671875,0.627853989601135,1.65200006961822,2.52000021934509,147,12360,normally,,
30430,RSA_112B,,Valid,11/9/2021 3:53:28 PM,1,2268.91210534974,12068.6080093384,0,6872.59765625,2290.0888671875,0.627853989601135,1.68599987030029,2.5,144,12370,normally,,
30431,RSA_113A,,Neglect,11/9/2021 3:59:41 PM,1,2274.02282592282,12080.3120136261,0,6872.59765625,2290.0888671875,0.627853989601135,1.64800000190735,2.68999981880188,152,12410,normally,,
30432,RSA_113A,,Out of d,11/9/2021 4:03:44 PM,1,2282.03582958552,12098.6625041068,0,6872.59765625,2290.0888671875,0.627853989601135,1.62799990177155,2.45000004768372,162.5,12430,normally,,
