Station,Cast,CTD_depth,Temp,Press,SeaPress,Salinity_Corr
75,Bottom,69.97357178,7.408654785,79.92644691,69.79394722,32.83731521
75,Surface,2.5,7.678759003,12.69263268,2.56013298,32.70776439
76,Bottom,88.49593353,8.047180176,99.01968257,88.88718287,33.5182
76,Surface,2.5,8.107416725,12.77239388,2.639894187,32.32870249
77,Bottom,91.99861145,8.107592773,102.3416733,92.20917358,33.49719884
77,Surface,2.5,8.084526367,12.64858646,2.516086769,32.2979
78,Bottom,80.70580292,7.595501709,91.12322617,80.99072647,33.28355079
78,Surface,2.5,7.756319635,12.81520685,2.682707151,32.47898284
79,Bottom,61.09718323,8.131048584,71.03799057,60.90549088,32.93506844
79,Surface,2.5,8.097027588,12.61384296,2.481343269,32.91699325
80,Bottom,78.93763733,7.303088379,89.20467631,79.07217662,32.912
80,Surface,2.5,7.832913547,12.63642671,2.503927019,32.46772106
81,Bottom,NA,NA,NA,NA,33.5081
81,Surface,2.5,NA,NA,NA,32.7014
82,Bottom,74.03859711,7.467559814,84.76551056,74.63301086,32.9299
82,Surface,2.5,8.121411133,12.68033164,2.547831944,32.79386858
83,Bottom,66.57636261,7.620904541,76.22606277,66.09356308,32.90887293
83,Surface,2.5,8.179837545,12.64263519,2.510135492,32.9032
84,Bottom,79.76933289,7.541577148,90.0955073,79.96300761,33.0463
84,Surface,2.5,8.135543213,12.66973534,2.537235641,32.77109242
85,Bottom,66.64560699,7.687371826,76.88565369,66.75315399,32.89692388
85,Surface,2.5,8.196938324,12.62666798,2.494168282,32.80843111
86,Bottom,90.14936066,9.023852539,100.4178743,90.28537464,33.88628289
86,Surface,2.5,8.190579834,12.7094944,2.576994705,32.71167409
87,Bottom,90.6612854,9.509503174,101.1859531,91.05345345,34.0456
87,Surface,2.5,8.236725871,12.59431775,2.461818059,32.63520469
88,Bottom,73.80771637,7.621325684,84.06365313,73.93115343,33.0089
88,Surface,2.5,8.086532593,12.63299894,2.500499249,32.86578075
89,Bottom,62.69568253,7.81204834,72.92964608,62.79714639,32.81232997
89,Surface,2.5,8.051106771,12.62021526,2.487715562,32.88182914
90,Bottom,61.42837906,7.827345784,71.82954254,61.69704285,32.81970765
90,Surface,2.5,7.868884277,12.72679313,2.594293435,32.81133585
91,Bottom,67.08527374,7.70199585,77.09243164,66.95993195,32.81775575
91,Surface,2.5,7.828149414,12.68964799,2.557148298,32.78530339
92,Bottom,66.77663422,7.537347412,76.97014236,66.83764267,32.80681312
92,Surface,2.5,7.951639404,12.64130745,2.508807755,32.763705
93,Bottom,85.82240295,7.92980957,96.11013285,85.97763316,33.24070231
93,Surface,2.5,8.133310954,12.6384654,2.50596571,32.89614156
94,Bottom,84.00347137,7.631872557,94.39396598,84.26146629,33.04406064
94,Surface,2.5,8.187442627,12.72250347,2.590003777,32.83068775
95,Bottom,73.1131897,7.593408203,83.73741913,73.60491943,32.89144355
95,Surface,2.5,8.086461182,12.68877907,2.556279373,32.84515896
96,Bottom,67.80758667,7.593634035,77.98467827,67.85217857,32.8786164
96,Surface,2.5,8.077177734,12.7062952,2.573795509,32.77928034
97,Bottom,65.21609497,7.62947998,75.76420593,65.63170624,32.8549
97,Surface,2.5,7.732478114,12.68412304,2.551623344,32.74814528
98,Bottom,66.212677,7.439770508,76.68700409,66.55450439,32.88621555
98,Surface,2.5,7.406858318,12.7043368,2.571837107,32.87777519
99,Bottom,58.75743484,7.288690186,68.85836411,58.72586441,32.8145
99,Surface,2.5,7.305664934,12.60558496,2.473085267,32.79601021
100,Bottom,58.41745758,7.305932617,68.75772349,58.6252238,32.9174
100,Surface,2.5,7.302043062,12.70832185,2.575822157,32.91951189
101,Bottom,56.53721619,7.515983391,66.15976608,56.02726639,32.87748982
101,Surface,2.5,7.514111939,12.63393726,2.501437569,32.85440293
102,Bottom,73.92828369,7.602966304,84.19005013,74.05755043,32.92493688
102,Surface,2.5,7.429628209,12.5778468,2.445347105,32.85990086
103,Bottom,77.08596802,7.689931234,87.82153875,77.68903906,32.9416
103,Surface,2.5,7.945914633,12.71422085,2.581721159,32.85534207
104,Bottom,81.49793243,7.714544678,91.26247883,81.12997913,33.14532816
104,Surface,2.5,8.276765137,12.56523647,2.432736778,32.85287809
