Station,Cast,CTD_depth,Temp,Press,SeaPress,Salinity_Corr,O2,O2Sat
46,Surface,2.5,17.23948874,12.63824571,2.505745708,32.58569423,274.6668513,111.4461864
47,Bottom,66.57696741,12.84901517,77.16277016,67.03027016,34.45079417,231.0826684,86.86423438
47,Surface,2.5,17.87996753,12.64539164,2.512891644,32.72219356,274.1723136,112.7191086
48,Bottom,76.00704384,11.57047681,86.06676147,75.93426147,33.76450746,243.6119343,88.75751819
48,Surface,2.5,17.2093808,12.62255635,2.490056355,32.48640169,273.2300152,110.7302775
49,Bottom,58.3864553,11.84274789,68.89804811,58.76554811,33.1706,256.2960882,93.60392177
49,Surface,2.5,17.95120417,12.67030049,2.53780049,32.3717133,280.966428,115.4235525
50,Bottom,58.58071318,12.19024163,68.97878694,58.84628694,33.03340437,255.6923071,93.95113111
50,Surface,2.5,17.51406396,12.61083396,2.478333964,32.41445157,282.1346271,114.9645366
51,Bottom,65.54029914,13.85507821,76.04914176,65.91664176,32.75594349,258.6996142,98.23052673
51,Surface,2.5,17.6211275,12.65140849,2.518908491,32.34928488,285.4489716,116.5084764
52,Bottom,64.53072822,12.33162495,75.04577476,64.91327476,32.93063764,260.1066336,95.79557299
52,Surface,2.5,17.69723066,12.67524801,2.542748009,32.51997445,284.8893229,116.5713566
53,Bottom,98.11883984,15.41110779,108.4202063,98.28770627,35.60088961,211.9610723,84.53375322
53,Surface,2.5,17.73982385,12.6365184,2.504018403,32.55625468,279.0175638,114.2878751
54,Bottom,86.0126144,11.47453878,96.27260252,86.14010252,33.33150175,253.0362763,91.74877133
54,Surface,2.5,17.63481088,12.65212847,2.519628472,32.51714041,279.595878,114.2666558
55,Bottom,47.05416868,13.47176885,56.96876658,46.83626658,32.79650387,261.6790607,98.60708806
55,Surface,2.5,17.87391189,12.56630993,2.433809926,32.53642518,291.7649709,119.8024275
56,Bottom,52.37119209,15.30436233,62.82189872,52.68939872,32.60469851,261.9277071,102.3201791
56,Surface,2.5,17.85789985,12.68016976,2.547669759,32.6696,281.8752391,115.6508927
57,Bottom,71.89929332,13.2787327,82.41944959,72.28694959,33.0116518,250.7135617,94.22668578
57,Surface,2.5,17.80185036,12.64572933,2.513229331,32.49070275,277.7597741,113.862674
58,Bottom,71.99278948,11.04208159,82.25094492,72.11844492,33.2188,253.0663555,90.88003739
58,Surface,2.5,17.66334709,12.66756444,2.535064443,32.69124306,272.275034,111.4540934
59,Bottom,91.47859902,15.33791104,101.3055694,91.17306939,35.2286,211.0800747,83.85445716
59,Surface,2.5,17.12382927,12.64079219,2.508292194,32.47153765,278.2954338,112.5871102
60,Bottom,76.89863592,12.67249247,87.11415618,76.98165618,33.5667711,239.757933,89.29369458
60,Surface,2.5,17.44018959,12.59459852,2.462098515,32.55939336,275.0328978,112.0102515
61,Bottom,57.31368245,14.84795192,67.78260724,57.65010724,32.63312058,255.7110247,98.99832387
61,Surface,2.5,17.76704926,12.569125,2.436625003,32.47382673,280.1292193,114.7455534
62,Bottom,65.20438175,13.13260408,75.77588905,65.64338905,32.73513579,253.6623796,94.88120073
