
#################################################################
# Summary Statistics
#################################################################

DIC = 740.8531

                   Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.Station108.EM1 0.366 0.120 0.107 0.145 0.286 0.381 0.457 0.538 0.561
p.Station109.EM1 0.314 0.108 0.090 0.121 0.239 0.325 0.394 0.473 0.492
p.Station110.EM1 0.442 0.113 0.176 0.226 0.377 0.458 0.524 0.601 0.621
p.Station111.EM1 0.207 0.089 0.049 0.066 0.138 0.204 0.270 0.360 0.384
p.Station112.EM1 0.406 0.123 0.124 0.162 0.330 0.428 0.499 0.569 0.587
p.Station113.EM1 0.120 0.066 0.023 0.030 0.069 0.110 0.162 0.248 0.271
p.Station114.EM1 0.173 0.115 0.028 0.036 0.085 0.145 0.236 0.405 0.464
p.Station9.EM2   0.113 0.020 0.079 0.084 0.099 0.111 0.125 0.148 0.155
p.Station10.EM2  0.108 0.032 0.043 0.054 0.088 0.108 0.129 0.161 0.171
p.Station11.EM2  0.077 0.031 0.021 0.029 0.055 0.075 0.095 0.130 0.142
p.Station12.EM2  0.031 0.019 0.005 0.007 0.017 0.028 0.042 0.067 0.077
p.Station13.EM2  0.137 0.036 0.073 0.084 0.114 0.135 0.158 0.200 0.218
p.Station14.EM2  0.072 0.030 0.018 0.025 0.051 0.070 0.091 0.125 0.136
p.Station15.EM2  0.064 0.028 0.015 0.021 0.044 0.062 0.082 0.115 0.125
p.Station16.EM2  0.070 0.030 0.018 0.024 0.049 0.067 0.088 0.124 0.138
p.Station17.EM2  0.042 0.023 0.008 0.011 0.025 0.040 0.056 0.083 0.093
p.Station18.EM2  0.079 0.031 0.021 0.030 0.058 0.077 0.098 0.131 0.144
p.Station19.EM2  0.147 0.038 0.083 0.092 0.123 0.144 0.168 0.215 0.233
p.Station20.EM2  0.045 0.025 0.008 0.012 0.028 0.042 0.058 0.089 0.101
p.Station21.EM2  0.104 0.032 0.041 0.052 0.083 0.103 0.126 0.158 0.170
p.Station24.EM2  0.051 0.025 0.010 0.014 0.032 0.050 0.067 0.095 0.104
p.Station25.EM2  0.118 0.034 0.057 0.068 0.096 0.116 0.138 0.176 0.194
p.Station26.EM2  0.108 0.024 0.064 0.071 0.092 0.107 0.123 0.151 0.160
p.Station27.EM2  0.081 0.031 0.023 0.031 0.060 0.080 0.101 0.132 0.143
p.Station28.EM2  0.130 0.035 0.066 0.077 0.108 0.128 0.150 0.191 0.209
p.Station29.EM2  0.079 0.031 0.022 0.030 0.057 0.077 0.098 0.133 0.146
p.Station30.EM2  0.023 0.016 0.003 0.004 0.011 0.019 0.031 0.056 0.066
p.Station31.EM2  0.078 0.031 0.021 0.028 0.057 0.076 0.097 0.130 0.142
p.Station32.EM2  0.123 0.035 0.060 0.071 0.100 0.121 0.142 0.184 0.200
p.Station33.EM2  0.193 0.076 0.088 0.098 0.131 0.179 0.245 0.333 0.359
p.Station34.EM2  0.155 0.042 0.095 0.102 0.125 0.146 0.179 0.236 0.255
p.Station35.EM2  0.115 0.024 0.071 0.078 0.100 0.114 0.129 0.155 0.165
p.Station36.EM2  0.033 0.022 0.006 0.008 0.018 0.029 0.044 0.075 0.089
p.Station37.EM2  0.016 0.010 0.003 0.004 0.008 0.014 0.021 0.037 0.042
p.Station38.EM2  0.025 0.017 0.004 0.006 0.013 0.021 0.033 0.058 0.068
p.Station39.EM2  0.031 0.020 0.005 0.007 0.017 0.027 0.041 0.069 0.080
p.Station40.EM2  0.028 0.019 0.005 0.006 0.015 0.024 0.037 0.063 0.073
p.Station41.EM2  0.274 0.042 0.197 0.208 0.246 0.272 0.300 0.348 0.366
p.Station42.EM2  0.570 0.051 0.468 0.485 0.536 0.571 0.604 0.652 0.669
p.Station43.EM2  0.871 0.053 0.753 0.778 0.838 0.877 0.910 0.947 0.956
p.Station44.EM2  0.023 0.017 0.003 0.005 0.011 0.018 0.029 0.054 0.067
p.Station45.EM2  0.018 0.017 0.002 0.003 0.008 0.013 0.023 0.050 0.064
p.Station46.EM2  0.073 0.031 0.020 0.027 0.052 0.071 0.091 0.129 0.143
p.Station47.EM2  0.186 0.037 0.119 0.129 0.160 0.183 0.208 0.252 0.268
p.Station48.EM2  0.037 0.018 0.008 0.011 0.024 0.035 0.047 0.068 0.076
p.Station49.EM2  0.041 0.031 0.005 0.008 0.020 0.032 0.053 0.104 0.123
p.Station50.EM2  0.036 0.022 0.006 0.008 0.020 0.033 0.047 0.075 0.088
p.Station51.EM2  0.024 0.020 0.003 0.004 0.011 0.019 0.032 0.061 0.075
p.Station52.EM2  0.087 0.032 0.028 0.038 0.066 0.085 0.105 0.143 0.160
p.Station53.EM2  0.106 0.023 0.063 0.070 0.090 0.105 0.119 0.145 0.156
p.Station54.EM2  0.081 0.031 0.024 0.033 0.061 0.079 0.098 0.135 0.150
p.Station55.EM2  0.111 0.037 0.047 0.058 0.087 0.107 0.130 0.178 0.197
p.Station56.EM2  0.164 0.037 0.099 0.109 0.140 0.161 0.185 0.229 0.246
p.Station57.EM2  0.083 0.034 0.024 0.034 0.061 0.079 0.101 0.145 0.163
p.Station58.EM2  0.153 0.035 0.090 0.099 0.129 0.150 0.174 0.215 0.231
p.Station59.EM2  0.036 0.023 0.006 0.008 0.020 0.032 0.048 0.080 0.094
p.Station60.EM2  0.080 0.023 0.037 0.045 0.065 0.079 0.094 0.118 0.128
p.Station61.EM2  0.073 0.032 0.018 0.026 0.051 0.069 0.089 0.131 0.149
p.Station62.EM2  0.065 0.029 0.015 0.021 0.045 0.062 0.082 0.114 0.127
p.Station63.EM2  0.049 0.026 0.010 0.014 0.030 0.046 0.063 0.095 0.109
p.Station64.EM2  0.052 0.026 0.011 0.015 0.033 0.049 0.066 0.098 0.111
p.Station65.EM2  0.032 0.021 0.005 0.007 0.017 0.028 0.042 0.074 0.086
p.Station66.EM2  0.056 0.028 0.011 0.016 0.035 0.052 0.072 0.107 0.121
p.Station67.EM2  0.058 0.028 0.012 0.017 0.037 0.055 0.074 0.109 0.122
p.Station68.EM2  0.055 0.027 0.011 0.016 0.035 0.052 0.070 0.104 0.118
p.Station69.EM2  0.027 0.017 0.004 0.006 0.014 0.024 0.036 0.059 0.067
p.Station70.EM2  0.047 0.025 0.010 0.013 0.029 0.043 0.062 0.095 0.107
p.Station71.EM2  0.043 0.024 0.008 0.011 0.026 0.040 0.057 0.087 0.100
p.Station72.EM2  0.074 0.031 0.020 0.028 0.053 0.072 0.092 0.126 0.141
p.Station73.EM2  0.079 0.031 0.023 0.031 0.058 0.076 0.097 0.133 0.149
p.Station74.EM2  0.058 0.028 0.012 0.017 0.037 0.055 0.074 0.108 0.123
p.Station75.EM2  0.089 0.023 0.046 0.054 0.075 0.088 0.103 0.127 0.137
p.Station76.EM2  0.060 0.029 0.013 0.019 0.041 0.058 0.077 0.111 0.125
p.Station77.EM2  0.189 0.037 0.124 0.133 0.163 0.186 0.211 0.255 0.269
p.Station78.EM2  0.174 0.036 0.109 0.119 0.149 0.171 0.195 0.237 0.253
p.Station79.EM2  0.043 0.023 0.008 0.011 0.025 0.040 0.057 0.086 0.096
p.Station80.EM2  0.280 0.041 0.203 0.215 0.252 0.278 0.305 0.351 0.369
p.Station81.EM2  0.777 0.054 0.665 0.687 0.743 0.778 0.813 0.863 0.880
