Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temperature,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
24,Surface,RSA_024B,20210502,41°36.16',68°23.75',41°36.30',68°23.59',15,27.4,NA,23:28,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.718103027,2,12.52414305,2,2.391643351,2,32.9472,2,2062.5,2,2224.7,,304.2670468
25,Bottom,RSA_025A,20210503,41°47.04',68°11.30',41°47.05',68°11.00',40,73.2,1:03,1:04,1:05,1:07,1:08,L9,Mercuric,100,,1:04,1:28,41°47.04,68°11.36,41°46.96,68°09.93,292,50,,74.68767,7.183447266,2,84.28215027,2,74.14965057,2,33.1154,2,2089.6,2,2232,,292.3669427
25,Surface,RSA_025B,20210503,41°47.04',68°11.30',41°47.05',68°11.00',40,73.2,NA,1:04,NA,NA,NA,NA,Mercuric,100,,1:04,1:28,41°47.04,68°11.36,41°46.96,68°09.93,292,50,,2.5,7.87506307,2,12.60012192,2,2.467622227,2,32.6478,2,2040.5,2,2223.1,,314.6860983
26,Bottom,RSA_026A,20210503,41°47.04',68°00.19',41°47.12',68°00.05',22.9,41.9,2:20,2:20,2:21,2:23,2:23,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,43.95594,7.605584717,2,53.70165482,2,43.56915512,2,33.0187,2,2072.2,2,2230.3,,299.8483633
26,Surface,RSA_026B,20210503,41°47.04',68°00.19',41°47.12',68°00.05',22.9,41.9,NA,2:20,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.61656189,2,12.60710549,2,2.474605799,2,32.9809,2,2076.1,2,2229.2,,299.9221564
27,Bottom,RSA_027A,20210503,41°53.08',67°54.19',41°53.16',67°54.18',30.4,55.6,3:12,3:12,3:14,3:14,3:16,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,55.95419,7.225024414,2,65.88976479,2,55.75726509,2,33.0837,2,2091.3,2,2232.1,,291.3312778
27,Surface,RSA_027B,20210503,41°53.08',67°54.19',41°53.16',67°54.18',30.4,55.6,NA,3:12,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.601078288,2,12.70912059,2,2.576620897,2,32.8494,2,2069.3,2,2228.3,,305.4625462
28,Bottom,RSA_028A,20210503,42°00.67',67°29.72',42°00.76',67°29.72',24.9,45.5,5:27,5:27,5:28,5:31,5:32,NA,Benzalkonium and mercuric,250,,6:00,6:15,42°03.93,67°26.05,42°04.98,67°25.22,2008,50,,43.69947,7.363727679,2,53.65159375,2,43.51909405,2,32.8758,2,2071.9,2,2221.5,,298.2713494
28,Surface,RSA_028B,20210503,42°00.67',67°29.72',42°00.76',67°29.72',24.9,45.5,NA,5:27,NA,NA,NA,NA,Benzalkonium and mercuric,250,,6:00,6:15,42°03.93,67°26.05,42°04.98,67°25.22,2008,50,,2.5,7.363745626,2,12.73779631,2,2.605296612,2,32.8755,2,2076.8,2,2214.2,,297.4606225
29,Bottom,RSA_029A,20210503,42°06.32',67°23.90',42°06.54',67°23.87',43.2,79,6:34,6:34,6:36,6:39,6:40,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,78.02595,7.105437012,2,88.05057907,2,77.91807938,2,32.9555,2,2082,2,2225,,293.2975351
