Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
32,Bottom,RSA_032A,20210503,41°53.24',67°23.87',41°53.18',67°23.72',30.3,55.4,10:04,10:05,10:07,10:10,10:11,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,57.08439,7.66953125,2,66.80551338,2,56.67301369,2,32.93,2,2071,2,2216.7,NA,299.6767817
33,Bottom,RSA_033A,20210503,41°29.79',67°42.03',41°41.22',67°17.17',22.8,41.7,13:45,13:46,13:47,13:50,13:50,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,43.44986,7.888549805,2,53.54439354,2,43.41189384,2,32.9539,2,2069.7,2,2221.3,NA,303.2244773
34,Bottom,RSA_034A,20210503,41°35.76',67°30.71',41°35.65',67°30.72',17.8,32.6,12:42,12:42,12:43,12:45,12:46,L7,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,35.26567,7.955181885,2,44.84445899,2,34.71195929,2,32.9114,2,2065.1,2,2215.4,NA,300.6849418
35,Bottom,RSA_035A,20210503,41°41.43',67°17.35',41°29.71',67°42.11',26.7,48.8,11:21,11:23,11:24,11:27,11:28,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,51.34352,7.8060119630000004,2,61.02321777,2,50.89071808,2,32.9247,2,2071.7,2,2227.5,NA,302.7792769
36,Bottom,RSA_036A,20210503,41°30.19',67°06.07',41°30.26',67°06.13',30,54.9,17:14,17:14,17:15,17:16,17:17,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,57.33202,7.673400879,2,66.93928655,2,56.80678686,2,32.9267,2,2052.3,2,2226.9,NA,321.6974619
37,Bottom,RSA_037A,20210503,41°23.68',67°00.25',41°23.72',67°00.29',34,62.2,18:18,18:19,18:20,18:21,18:23,L24,Mercuric,100,,18:25,18:40,41°23.70,67°00.31,41°22.71,67°01.32,0,0,All sand dollars,64.76473,7.453430176,2,74.1995341,2,64.0670344,2,32.8367,2,2054.5,2,2220.2,NA,323.8155601
38,Bottom,RSA_038A,20210503,41°17.74',67°05.65',41°17.78',67°05.68',33,60.4,19:27,19:28,19:28,19:30,19:31,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,62.26756,7.624829102,2,71.95452663,2,61.82202693,2,32.8873,2,2050.3,2,2219.5,NA,318.4038757
39,Bottom,RSA_039A,20210503,41°17.62',66°54.05',41°17.65',66°54.02',38,69.5,20:30,20:30,20:31,20:32,20:33,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,70.85619,7.3640625,2,80.73426056,2,70.60176086,2,32.7401,2,2059.9,2,2215.6,NA,313.871674
40,Bottom,RSA_040A,20210503,41°17.51',66°42.27',41°17.66',66°42.13',41.8,76.4,21:29,21:30,21:31,21:32,21:33,NA,Mercuric,100,,21:34,21:50,41°17.66,66°42.13,41°18.77,66°40.91,140,50,Bags labelled 37,77.74607,6.885205078,2,87.32049391,2,77.18799422,2,32.8428,2,2086.1,2,2219.2,NA,296.5129057
41,Bottom,RSA_041A,20210503,41°23.47',66°35.67',41°23.51',66°35.59',46,84.1,22:32,22:33,22:34,22:35,22:37,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,85.91049,7.002502441,2,95.34253802,2,85.21003832,2,32.8158,2,2081.8,2,2215.4,NA,300.7843608
42,Bottom,RSA_042A,20210503,41°17.84',66°30.22',41°17.82',66°30.13',49.7,90.9,23:19,23:20,23:21,23:23,23:24,L23,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,92.56243,6.879077147,2,102.1956348,2,92.06313515,2,32.9726,2,2095,2,2227.8,NA,288.8395249
43,Bottom,RSA_043A,20210504,41°12.20',66°24.12',41°12.21',66°24.06',50.9,93.1,0:07,0:07,0:08,0:09,0:11,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,94.56269,8.324635315,2,104.5703798,2,94.43788006,2,33.6504,2,2108.6,2,2247.6,NA,260.0839412
44,Bottom,RSA_044A,20210504,41°11.97',66°34.99',41°11.93',66°35.00',48.7,89.1,1:06,1:06,1:09,1:09,1:10,L22,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,89.78135,6.843389893,2,99.39611192,2,89.26361223,2,32.9272,2,2092.6,2,2222.8,NA,289.2014018
45,Bottom,RSA_045A,20210504,41°12.01',66°47.45',41°11.96',66°47.46',38.7,70.8,2:11,2:11,2:12,2:13,2:14,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,72.88882,6.882751465,2,82.7726593,2,72.64015961,2,32.681,2,2074.9,2,2214.5,NA,303.1586443
46,Bottom,RSA_046A,20210504,41°06.92',66°41.96',41°05.87',66°41.99',42.6,77.9,3:00,3:00,3:01,3:02,3:04,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,79.50774,6.788006592,2,89.15282549,2,79.0203258,2,32.9506,2,2097.6,2,2225.4,NA,284.9187555
47,Bottom,RSA_047A,20210504,40°59.87',66°35.83',40°59.82',66°35.87',46.2,84.5,3:51,3:51,3:53,3:54,3:56,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,86.45428,8.326690674,2,96.1541541,2,86.0216544,2,33.6673,2,2098.1,2,2258.1,NA,261.1788105
48,Bottom,RSA_048A,20210504,40°59.90',66°47.99',40°59.90',66°48.09',41.5,75.9,4:53,4:54,4:55,4:58,4:59,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,77.56934,6.8626525880000004,2,87.18876495,2,77.05626526,2,33.0015,2,2103.8,2,2228.5,NA,281.4673586
49,Bottom,RSA_049A,20210504,40°53.85',66°53.96',40°53.76',66°53.89',49.4,90.3,11:11,11:11,11:13,11:15,11:16,L13,Benzalkonium and mercuric,250,Rain,NA,NA,NA,NA,NA,NA,NA,NA,,91.71168,7.417047119,2,101.1056091,2,90.97310944,2,33.3029,2,2115.7,2,2243.8,NA,269.3913299
50,Bottom,RSA_050A,20210504,41°06.15',66°54.27',41°06.18',66°54.30',38.5,70.4,6:01,6:01,6:03,6:05,6:06,NA,Benzalkonium and mercuric,250,,5:39,5:54,41°05.01,66°53.14,41°05.97,66°54.13,2972,50,Bags labelled 47,72.19479,6.812060547,2,81.87382889,2,71.74132919,2,32.6888,2,2085.4,2,2217.7,NA,300.9229864
51,Bottom,RSA_051A,20210504,41°12.14',67°00.52',41°12.21',67°00.68',36.6,66.9,6:59,6:59,7:00,7:04,7:05,NA,Benzalkonium and mercuric,250,Light rain,NA,NA,NA,NA,NA,NA,NA,NA,,68.59651,7.634976366,2,78.11783659,2,67.98533689,2,32.8555,2,2060.7,2,2226.3,NA,309.0478447
