,Accession,EXPOCODE,Cruise_ID,Observation_type,Station_ID,Cast_number,Niskin_ID,Sample_ID,Date,Latitude,Longitude,Season,Pressure,Depth,Temperature,Salinity,Oxygen,Oxygen_flag,DIC,TALK,TALK_flag,pCO2_atm,ADT,SLA,SST,SST_hires,Chl,KD490
3814,,,AR18-B,,OSSM,2.0,1.0,,2017-06-06,39.94198333,-70.88373333,summer,438.8212158,435.0,6.9441,35.0933,187.9890523,2.0,2191.087646,2313.190178,2,406.76,-0.14732428544974338,0.015238628565285538,14.898247944225083,15.227819808527146,0.43093042411694704,0.0615688018436979
3815,,,AR18-B,,OSSM,2.0,2.0,,2017-06-06,39.94198333,-70.88373333,summer,438.8212158,435.0,6.9482,35.0929,183.4253143,2.0,2192.760406,2314.918463,2,406.76,-0.14732428544974338,0.015238628565285538,14.898247944225083,15.227819808527146,0.43093042411694704,0.0615688018436979
3816,,,AR18-B,,OSSM,2.0,3.0,,2017-06-06,39.94198333,-70.88373333,summer,169.3655295,168.0,12.2188,35.5419,160.1670132,2.0,2172.792541,2337.278058,2,406.76,-0.14732428544974338,0.015238628565285538,14.898247944225083,15.227819808527146,0.43093042411694704,0.0615688018436979
3817,,,AR18-B,,OSSM,2.0,5.0,,2017-06-06,39.94198333,-70.88373333,summer,28.2179318,28.0,13.5022,34.3121,270.0317464,2.0,2052.835004,2289.162217,2,406.76,-0.14732428544974338,0.015238628565285538,14.898247944225083,15.227819808527146,0.43093042411694704,0.0615688018436979
3818,,,AR18-B,,OSSM,2.0,7.0,,2017-06-06,39.94198333,-70.88373333,summer,8.061871743,8.0,14.1298,33.7564,275.3631071,2.0,2028.073144,2268.161752,2,406.76,-0.14732428544974338,0.015238628565285538,14.898247944225083,15.227819808527146,0.43093042411694704,0.0615688018436979
3819,,,AR18-B,,PMUO,4.0,1.0,,2017-06-07,39.9402,-70.77496667,summer,446.900116,443.0,6.6303,35.0797,198.5884242,2.0,2190.929441,2324.74026,2,406.76,-0.15971037961306153,0.005485054690143976,15.337673014913765,16.395252402440022,0.44258121418154145,0.0622999186161638
3820,,,AR18-B,,PMUO,4.0,3.0,,2017-06-07,39.9402,-70.77496667,summer,203.658756,202.0,11.7646,35.4677,173.9042616,2.0,2171.161468,2339.721387,2,406.76,-0.15971037961306153,0.005485054690143976,15.337673014913765,16.395252402440022,0.44258121418154145,0.0622999186161638
3821,,,AR18-B,,PMUO,4.0,4.0,,2017-06-07,39.9402,-70.77496667,summer,203.658756,202.0,11.8103,35.4701,174.9491106,2.0,2174.51341,2331.628259,2,406.76,-0.15971037961306153,0.005485054690143976,15.337673014913765,16.395252402440022,0.44258121418154145,0.0622999186161638
3822,,,AR18-B,,PMUO,4.0,5.0,,2017-06-07,39.9402,-70.77496667,summer,22.17090311,22.0,11.4639,34.2424,261.367225,2.0,2083.690772,2289.314047,2,406.76,-0.15971037961306153,0.005485054690143976,15.337673014913765,16.395252402440022,0.44258121418154145,0.0622999186161638
3823,,,AR18-B,,PMUO,4.0,7.0,,2017-06-07,39.9402,-70.77496667,summer,3.023164426,3.0,16.0169,34.462,255.9447571,2.0,2041.649366,2298.39787,2,406.76,-0.15971037961306153,0.005485054690143976,15.337673014913765,16.395252402440022,0.44258121418154145,0.0622999186161638
