Station,Cast,BottleID,Filtered,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temperature,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,DIC/TA Ratio,Dissolved_oxygen,DO_sat
25,Bottom,RSA_287,,20211006,41°48.01',68°11.99',41°48.03',68°12.03',47.3,86.5,10:55,10:55,10:57,11:00,11:01,D12,Mercuric,100,"petcock, disc, bushing lost; no sal sample recorded",11:09,11:27,41°47.91',68°11.36',41°48.02',68°09.75',1048,50,drag down for ~18 mins (dealing with Niskin situation),88.67232296,9.918480106,,98.19227055,,88.05977055,,32.881,,2099.9,,2222.1,,0.945006975,250.8489094,87.71632173
26,Surface,RSA_288,Y?,20211006,41°48.06',68°00.04',41°48.16',68°00.07',21.7,39.7,NA,12:34,NA,NA,NA,,Mercuric,100,filtered sample not labeled on datasheet,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.39908421,,12.74795533,,2.615455327,,32.6397,,2003.8,,2196.5,,0.91226952,,
26,Surface,RSA_289,,20211006,41°48.06',68°00.04',41°48.16',68°00.07',21.7,39.7,NA,12:34,NA,NA,NA,,Mercuric,100,filtered sample not labeled on datasheet,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.39908421,,12.74795533,,2.615455327,,32.6397,,2005.4,,2192.5,,0.914663626,268.7600282,109.4224072
27,Bottom,RSA_290,,20211006,41°54.02',67°54.00',41°54.19',67°54.02',33.7,61.6,13:28,13:29,13:30,13:34,13:36,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,64.33720677,12.71567357,,74.04845546,,63.91595546,,32.8831,,2074.4,,2215.3,,0.936396876,255.5644868,94.85500542
27,Surface,RSA_291,,20211006,41°54.02',67°54.00',41°54.19',67°54.02',33.7,61.6,NA,13:29,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.04823961,,12.46057309,,2.328073092,,32.6736,,2008.4,,2196.3,,0.914447025,270.1503465,109.2668182
28,Bottom,RSA_292,Y,20211006,41°59.98',67°30.02',41°59.95',67°29.94',21.7,39.7,15:43,15:43,15:45,15:49,15:50,,Mercuric,100,,15:54,16:09,42°00.16',67°29.76',42°01.03',67°28.90',1815,50,heavily encrusted with barnacles,42.19160344,17.64059367,,52.53270852,,42.40020852,,32.5868,,2002.4,,2187.6,,0.915341013,,
28,Bottom,RSA_293,,20211006,41°59.98',67°30.02',41°59.95',67°29.94',21.7,39.7,15:43,15:43,15:45,15:49,15:50,,Mercuric,100,,15:54,16:09,42°00.16',67°29.76',42°01.03',67°28.90',1815,50,heavily encrusted with barnacles,42.19160344,17.64059367,,52.53270852,,42.40020852,,32.5868,,2007.8,,2185.6,,0.918649341,276.3117366,112.985076
28,Surface,RSA_294,,20211006,41°59.98',67°30.02',41°59.95',67°29.94',21.7,39.7,NA,15:45,NA,NA,NA,,Mercuric,100,,15:54,16:09,42°00.16',67°29.76',42°01.03',67°28.90',1815,50,heavily encrusted with barnacles,2.5,17.69476695,,12.61112882,,2.478628824,,32.6248,,2006.6,,2188.7,,0.916799927,280.4303729,114.8151868
29,Bottom,RSA_295,,20211006,42°06.03',67°23.93',42°05.96',67°23.82',37.9,69.3,16:56,16:58,16:59,17:01,17:02,,Mercuric,100,labeled 297 on datasheet,NA,NA,NA,NA,NA,NA,NA,,,71.45779137,9.956667131,,81.87158678,,71.73908678,,33.0179,,2102.3,,2223,,0.945704004,259.2161712,90.77012611
29,Surface,RSA_296,,20211006,42°06.03',67°23.93',42°05.96',67°23.82',37.9,69.3,NA,16:58,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,,,2.5,17.15654629,,12.69199654,,2.559496539,,32.6264,,2005.3,,2194.5,,0.913784461,286.1382638,115.9432589
