Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,DIC.TA.Ratio,Dissolved_oxygen,DO_sat
48,Surface,RSA_340,20211007,41°00.01',66°47.98',41°00.07',66°47.97',41.3,75.5,NA,15:37,NA,NA,NA,,Mercuric,100,uncertain about bottle numbers; sunny & calm,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.2093808,NA,12.62255635,NA,2.490056355,NA,32.4864,NA,1976.2,NA,2201.4,NA,0.897701463,273.2300152,110.7302775
50,Surface,RSA_343,20211007,41°05.94',66°53.93',41°06.03',66°53.84',37.5,68.6,NA,16:36,NA,NA,NA,,Mercuric,100,,16:45,17:00,41°06.42',66°54.34',41°07.07',66°55.42',149,50,drag caught in gear; may have lost some scallops,2.5,17.51406396,NA,12.61083396,NA,2.478333964,NA,32.4145,NA,1980.4,NA,2186.8,NA,0.905615511,282.1346271,114.9645366
51,Surface,RSA_345,20211007,41°11.94',66°59.95',41°11.93',66°59.91',35.9,65.7,NA,17:57,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.6211275,NA,12.65140849,NA,2.518908491,NA,32.3493,NA,1977.8,NA,2187.2,NA,0.904261156,285.4489716,116.5084764
56,Surface,RSA_347,20211007,41°11.99',67°11.93',41°11.98',67°11.93',31.5,57.6,NA,19:07,NA,NA,NA,,Mercuric,100,,19:18,19:33,41°11.04',67°11.02',41°10.43',67°10.36',2,2,squid,2.5,17.85789985,NA,12.68016976,NA,2.547669759,NA,32.6696,NA,1962.4,NA,2198.9,NA,0.892582655,281.8752391,115.6508927
55,Surface,RSA_349,20211007,41°06.01',67°06.01',41°05.72',67°05.87',34.2,62.5,NA,20:09,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.87391189,NA,12.56630993,NA,2.433809926,NA,32.5364,NA,1991.5,NA,2197.3,NA,0.906339599,291.7649709,119.8024275
52,Surface,RSA_351,20211007,40°59.97',67°00.00',40°59.83',66°59.95',37.8,69.1,NA,20:58,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.69723066,NA,12.67524801,NA,2.542748009,NA,32.52,NA,1992.6,NA,2196.4,NA,0.907211801,284.8893229,116.5713566
49,Surface,RSA_354,20211007,40°53.90',66°53.92',40°53.75',66°53.88',48.4,88.5,NA,21:48,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.95120417,NA,12.67030049,NA,2.53780049,NA,32.3717,NA,1970.5,NA,2189.8,NA,0.899853868,280.966428,115.4235525
53,Surface,RSA_358,20211007,40°48.01',67°00.04',40°47.98',67°00.16',52.4,95.8,NA,22:36,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.73982385,NA,12.6365184,NA,2.504018403,NA,32.5563,NA,1978,NA,2208.7,NA,0.895549418,279.0175638,114.2878751
54,Surface,RSA_360,20211007,40°53.77',67°05.95',40°53.93',67°06.17',46.1,84.3,NA,23:28,NA,NA,NA,,Mercuric,100,,23:39,23:54,40°54.15',67°06.42',40°55.12',67°07.35',6398,50,,2.5,17.63481088,NA,12.65212847,NA,2.519628472,NA,32.5171,NA,1990.3,NA,2198.2,NA,0.905422619,279.595878,114.2666558
57,Surface,RSA_363,20211008,41°00.12',67°12.18',41°00.12',67°12.28',39.6,72.4,NA,0:41,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.80185036,NA,12.64572933,NA,2.513229331,NA,32.4907,NA,1986.2,NA,2199.9,NA,0.902859221,277.7597741,113.862674
61,Surface,RSA_364,20211008,41°06.00',67°17.98',41°06.08',67°18.06',32.7,59.8,NA,1:29,NA,NA,NA,,Mercuric,100,,1:38,1:53,41°06.01',67°19.37',41°05.66',67°20.04',2,2,chance that scallops were stuck in drag from previous site,2.5,17.76704926,NA,12.569125,NA,2.436625003,NA,32.4738,NA,1986.7,NA,2192.8,NA,0.90601058,280.1292193,114.7455534
67,Surface,RSA_366,20211008,41°06.00',67°29.94',41°06.01',67°29.95',30.5,55.8,NA,2:43,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.1403721,NA,12.6379215,NA,2.5054215,NA,32.5586,NA,1997.2,NA,2200.6,NA,0.907570663,285.1174925,115.4455014
68,Surface,RSA_368,20211008,41°00.15',67°35.86',41°00.15',67°35.87',34.5,63.1,NA,3:39,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.24999478,NA,12.62568651,NA,2.493186507,NA,32.5233,NA,1988.6,NA,2204,NA,0.902268603,282.3424558,114.5401667
66,Surface,RSA_370,20211008,41°00.00',67°30.22',40°59.99',67°30.16',35.4,64.7,NA,4:13,NA,NA,NA,,Benzalkonium and mercuric,250,,4:22,4:37,41°00.04',67°29.60',41°00.05',67°28.06',97,50,,2.5,17.20815377,NA,12.6654974,NA,2.532997401,NA,32.5351,NA,1988.5,NA,2199.8,NA,0.903945813,281.2984553,114.0333771
62,Surface,RSA_373,20211008,41°00.03',67°23.94',41°00.05',67°23.91',36.7,67.1,NA,5:01,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.57703039,NA,12.62263565,NA,2.490135649,NA,32.4887,NA,1986.9,NA,2193.4,NA,0.905853925,276.3576892,112.798293
60,Surface,RSA_375,20211008,40°54.05',67°18.04',40°53.94',67°18.09',43.9,80.3,NA,5:51,NA,NA,NA,,Benzalkonium and mercuric,250,,6:01,6:16,40°54.03',67°18.46',40°53.96',67°20.09',4216,50,,2.5,17.44018959,NA,12.59459852,NA,2.462098515,NA,32.5594,NA,1985.7,NA,2207.8,NA,0.89940212,275.0328978,112.0102515
65,Surface,RSA_378,20211008,40°53.97',67°29.94',40°53.85',67°29.90',39.9,73,NA,7:18,NA,NA,NA,,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,16.88922052,NA,12.58985644,NA,2.457356441,NA,32.4958,NA,1998.6,NA,2204.6,NA,0.906559013,278.7701405,112.282861
63,Surface,RSA_380,20211008,40°47.78',67°23.85',40°47.62',67°23.81',47.3,86.5,NA,8:07,NA,NA,NA,,Mercuric,100,delay in poisoning,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.32107618,NA,12.61284161,NA,2.480341609,NA,32.4883,NA,1981.9,NA,2206.6,NA,0.898169129,275.7680321,112.003023
58,Surface,RSA_382,20211008,40°47.99',67°12.08',40°47.87',67°11.96',50.4,92.2,NA,9:11,NA,NA,NA,,Mercuric,100,delay in poisoning,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.66334709,NA,12.66756444,NA,2.535064443,NA,32.6912,NA,1983.6,NA,2214.7,NA,0.895651781,272.275034,111.4540934
59,Surface,RSA_385,20211008,40°41.99',67°18.06',40°41.96',67°18.15',52.2,95.5,NA,10:01,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.12382927,NA,12.64079219,NA,2.508292194,NA,32.4715,NA,1978.7,NA,2200.9,NA,0.899041301,278.2954338,112.5871102
64,Surface,RSA_387,20211008,40°41.99',67°30.09',40°42.01',67°30.16',48.2,88.1,NA,11:00,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.36109574,NA,12.58513061,NA,2.452630605,NA,32.4885,NA,1981.7,NA,2195.9,NA,0.902454574,275.9097547,112.1473202
69,Surface,RSA_389,20211008,40°48.13',67°36.06',40°48.22',67°36.16',42.1,77,NA,11:53,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,16.57307869,NA,13.66028521,NA,3.527785207,NA,32.5683,NA,2002.2,NA,2207.4,NA,0.907039957,276.4605473,110.7168617
70,Surface,RSA_392,20211008,40°48.02',67°42.02',40°48.10',67°42.22',38,69.5,NA,12:25,NA,NA,NA,,Mercuric,100,,12:37,12:52,40°47.28',67°42.11',40°45.85',67°42.00',433,50,,2.5,16.98163486,NA,12.59993826,NA,2.467438259,NA,32.5588,NA,1990.7,NA,2202,NA,0.90404178,279.6966362,112.9023002
71,Surface,RSA_394,20211008,40°42.05',67°42.00',40°42.02',67°42.02',41.5,75.9,NA,13:29,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.2630918,NA,12.64334076,NA,2.510840765,NA,32.4795,NA,1978.2,NA,2200.2,NA,0.899100082,275.3470241,111.7006068
72,Surface,RSA_396,20211008,40°36.05',67°48.00',40°36.19',67°48.10',45.8,83.8,NA,14:26,NA,NA,NA,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,17.53309414,NA,12.62754795,NA,2.495047954,NA,32.5204,NA,1978.4,NA,2208,NA,0.896014493,275.7206992,112.4648709
