Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
33,Surface,RSA_033B,20210503,41°29.79',67°42.03',41°41.22',67°17.17',22.8,41.7,NA,13:46,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.934476725,2,12.56000551,2,2.427505811,2,32.9771,2,2070.8,2,2220,NA,302.8683704
34,Surface,RSA_034B,20210503,41°35.76',67°30.71',41°35.65',67°30.72',17.8,32.6,NA,12:42,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.960989102,2,12.58546777,2,2.452968077,2,32.9218,2,2065.7,2,2218.5,NA,300.0625864
35,Surface,RSA_035B,20210503,41°41.43',67°17.35',41°29.71',67°42.11',26.7,48.8,NA,11:23,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.821582709,2,12.64714601,2,2.514646318,2,32.9208,2,2063,2,2220.6,NA,302.9604067
36,Surface,RSA_036B,20210503,41°30.19',67°06.07',41°30.26',67°06.13',30,54.9,NA,17:14,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.877237956,2,12.66080856,2,2.528308868,2,32.9813,2,2048.8,2,2227,NA,322.7651111
37,Surface,RSA_037B,20210503,41°23.68',67°00.25',41°23.72',67°00.29',34,62.2,NA,18:19,NA,NA,NA,NA,Mercuric,100,,18:25,18:40,41°23.70,67°00.31,41°22.71,67°01.32,0,0,All sand dollars,2.5,7.760122342,2,12.66906696,2,2.536567264,2,32.7499,2,2056.9,2,2220.5,NA,318.8600187
38,Surface,RSA_038B,20210503,41°17.74',67°05.65',41°17.78',67°05.68',33,60.4,NA,19:28,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.97030131,2,12.622859,2,2.490359306,2,33.0392,2,2052.2,2,2219.8,NA,318.790029
39,Surface,RSA_039B,20210503,41°17.62',66°54.05',41°17.65',66°54.02',38,69.5,NA,20:30,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.181237793,2,12.66306233,2,2.530562639,2,32.6704,-999,2070.7,2,2208.5,NA,311.8926137
40,Surface,RSA_040B,20210503,41°17.51',66°42.27',41°17.66',66°42.13',41.8,76.4,NA,21:30,NA,NA,NA,NA,Mercuric,100,,21:34,21:50,41°17.66,66°42.13,41°18.77,66°40.91,140,50,Bags labelled 37,2.5,7.681356376,2,12.65148681,2,2.518987111,2,32.8377,2,2072.3,2,2215,NA,308.9715924
41,Surface,RSA_041B,20210503,41°23.47',66°35.67',41°23.51',66°35.59',46,84.1,NA,22:33,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.674394008,2,12.6994885,2,2.566988809,2,32.7352,2,2070.1,2,2214.9,NA,308.4947759
42,Surface,RSA_042B,20210503,41°17.84',66°30.22',41°17.82',66°30.13',49.7,90.9,NA,23:20,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.649547682,2,12.60832755,2,2.475827853,2,33.0574,2,2076.4,2,2219.9,NA,308.0292359
43,Surface,RSA_240,20210504,41°12.20',66°24.12',41°12.21',66°24.06',50.9,93.1,NA,0:07,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.672115072,2,12.66261689,2,2.530117194,2,32.8695,2,2075.3,2,2220.8,NA,302.161149
44,Surface,RSA_044B,20210504,41°11.97',66°34.99',41°11.93',66°35.00',48.7,89.1,NA,1:06,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.562691825,2,12.69785282,2,2.565353121,2,32.7766,2,2069.9,2,2214.7,NA,307.1733824
45,Surface,RSA_045B,20210504,41°12.01',66°47.45',41°11.96',66°47.46',38.7,70.8,NA,2:11,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.469469198,2,12.64469433,2,2.512194633,2,32.6414,2,2072,2,2216.8,NA,307.21236
46,Surface,RSA_046B,20210504,41°06.92',66°41.96',41°05.87',66°41.99',42.6,77.9,NA,3:00,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.498149414,2,12.61719818,2,2.484698486,2,32.6898,2,2072.5,2,2215.4,NA,306.3441152
47,Surface,RSA_047B,20210504,40°59.87',66°35.83',40°59.82',66°35.87',46.2,84.5,NA,3:51,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.085714722,2,12.60330343,2,2.470803738,2,32.5053,2,2053.9,2,2214.6,NA,310.7761161
48,Surface,RSA_048B,20210504,40°59.90',66°47.99',40°59.90',66°48.09',41.5,75.9,NA,4:54,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.424626576,2,12.69852101,2,2.566021312,2,32.8721,2,2080.7,2,2218.2,NA,303.5892923
49,Surface,RSA_049B,20210504,40°53.85',66°53.96',40°53.76',66°53.89',49.4,90.3,NA,11:11,NA,NA,NA,NA,Benzalkonium and mercuric,250,Rain,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.340887451,2,12.66910589,2,2.536606193,2,32.7316,2,2018.2,2,2195.4,NA,306.4295597
50,Surface,RSA_050B,20210504,41°06.15',66°54.27',41°06.18',66°54.30',38.5,70.4,NA,6:01,NA,NA,NA,NA,Benzalkonium and mercuric,250,,5:39,5:54,41°05.01,66°53.14,41°05.97,66°54.13,2972,50,Bags labelled 47,2.5,7.352009277,2,12.58567924,2,2.45317955,2,32.6837,2,2075,2,2215.3,NA,306.1025867
51,Surface,RSA_051B,20210504,41°12.14',67°00.52',41°12.21',67°00.68',36.6,66.9,NA,6:59,NA,NA,NA,NA,Benzalkonium and mercuric,250,Light rain,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.694557953,2,12.64096415,2,2.508464456,2,32.8936,2,2053.6,2,2222.9,NA,309.6088226
52,Surface,RSA_052B,20210504,40°59.85',66°59.75',40°59.87',66°59.67',38.3,70,NA,10:17,NA,NA,NA,NA,Benzalkonium and mercuric,250,Rain,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.620625814,2,12.69408067,2,2.561580976,2,32.7442,2,2041.7,2,2189.8,NA,308.6483958
53,Surface,RSA_053B,20210504,40°47.50',67°00.10',40°47.44',67°00.10',53.8,98.4,NA,12:07,NA,NA,NA,NA,Benzalkonium and mercuric,250,Rain,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.846874128,2,12.72372082,2,2.591221128,2,32.8191,2,2033.7,2,2181.3,NA,304.8879393
54,Surface,RSA_054B,20210504,40°54.20',67°06.00',40°54.22',67°06.61',46,84.1,NA,13:15,NA,NA,NA,NA,Benzalkonium and mercuric,250,Rain,13:29,13:44,40°55.02,67°07.42,40°56.06,67°08.35,2312,51,,2.5,7.556919556,2,12.68705349,2,2.554553795,2,32.5623,2,2069.5,2,2206.3,NA,301.3034032
55,Surface,RSA_055B,20210504,41°06.13',67°05.33',41°06.06',67°05.23',35.4,64.7,NA,9:19,NA,NA,NA,NA,Benzalkonium and mercuric,250,Rain,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.433327811,2,12.62896456,2,2.496464866,2,32.6083,2,2056.5,2,2199.9,NA,307.2905815
56,Surface,RSA_056B,20210504,41°12.24',67°12.50',41°12.36',67°12.57',31.8,58.2,NA,8:14,NA,NA,NA,NA,Benzalkonium and mercuric,250,,7:53,8:08,41°12.09,67°10.43,41°12.05,67°12.27,6,6,Mainly sand dollars,2.5,7.598726807,2,12.72937126,2,2.596871567,2,32.7095,2,2056.7,2,2220.8,NA,313.7368067
57,Surface,RSA_057B,20210504,41°00.25',67°12.42',41°00.25',67°12.52',39.9,73,NA,14:26,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.590714333,2,12.68438833,2,2.551888639,2,32.4308,2,2054.4,2,2202.4,999,311.2323621
